Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2006-12-29	Snow	BRUCE TOWNSHIP ROAD DISTRICT	No	1	$2,829.62
2006-12-29	Snow	CEDAR POINT, VILLAGE OF	No	1	$1,355.42
2006-12-29	Snow	COMMUNITY UNIT SCHOOL DISTRICT  2	Yes	1	$1,749.71
2006-12-29	Snow	EAGLE TOWNSHIP ROAD DISTRICT	No	1	$2,448.10
2006-12-29	Snow	EARL TOWNSHIP ROAD DISTRICT	No	1	$3,360.83
2006-12-29	Snow	EARLVILLE, CITY OF	No	1	$3,674.80
2006-12-29	Snow	EARLVILLE COMMUNITY UNIT SCHOOL DISTRICT NO .9	Yes	1	$1,069.37
2006-12-29	Snow	EDEN TOWNSHIP ROAD DISTRICT	No	1	$2,745.38
2006-12-29	Snow	FALL RIVER TOWNSHIP ROAD DISTRICT	No	1	$2,638.97
2006-12-29	Snow	GRAND RAPIDS TOWNSHIP ROAD DISTRICT	No	1	$2,390.70
2006-12-29	Snow	GROVELAND TOWNSHIP ROAD DISTRICT	No	1	$1,213.39
2006-12-29	Snow	LA SALLE, CITY OF	No	1	$27,896.99
2006-12-29	Snow	LASALLE COUNTY HIGHWAY DEPARTMENT	No	1	$59,072.21
2006-12-29	Snow	LASALLE PERU SCHOOL DIST 120	Yes	1	$4,338.43
2006-12-29	Snow	LELAND COMMUNITY UNIT SCHOOL DISTRICT 1	Yes	1	$1,004.45
2006-12-29	Snow	LOSTANT, VILLAGE OF	No	1	$1,505.75
2006-12-29	Snow	MANLIUS TOWNSHIP ROAD DISTRICT	No	1	$1,724.50
2006-12-29	Snow	MARSEILLES, CITY OF	No	1	$5,134.67
2006-12-29	Snow	MENDOTA, CITY OF	No	1	$8,134.51
2006-12-29	Snow	MERIDEN TOWNSHIP ROAD DISTRICT	No	1	$4,133.31
2006-12-29	Snow	NORTH UTICA, VILLAGE OF	No	1	$4,688.48
2006-12-29	Snow	NORTHVILLE TWP. ROAD DISTRICT	No	1	$5,794.97
2006-12-29	Snow	OGLESBY, CITY OF	No	1	$12,000.34
2006-12-29	Snow	OPHIR TOWNSHIP ROAD DISTRICT	No	1	$2,251.03
2006-12-29	Snow	OSAGE TOWNSHIP ROAD DISTRICT	No	1	$1,678.80
2006-12-29	Snow	OTTAWA, CITY OF	No	1	$13,243.13
2006-12-29	Snow	OTTAWA TOWNSHIP HIGHWAY DISTRICT	No	1	$5,831.08
2006-12-29	Snow	OTTER CREEK TOWNSHIP ROAD DISTRICT	No	1	$4,862.61
2006-12-29	Snow	PERU, CITY OF	No	1	$28,486.14
2006-12-29	Snow	RANSOM, VILLAGE OF	No	1	$1,362.89
2006-12-29	Snow	RICHLAND TOWNSHIP ROAD DISTRICT	No	1	$1,283.36
2006-12-29	Snow	SENECA TWP SCHOOL DISTRICT 160	Yes	1	$1,899.46
2006-12-29	Snow	SENECA, VILLAGE OF	No	1	$1,761.18
2006-12-29	Snow	SERENA TOWNSHIP ROAD DISTRICT	No	1	$4,497.49
2006-12-29	Snow	SOUTH OTTAWA TOWNSHIP ROAD DISTRICT	No	1	$5,163.66
2006-12-29	Snow	STREATOR, CITY OF	No	1	$12,450.67
2006-12-29	Snow	STREATOR ELEMENTARY SCHOOL DISTRICT  44	Yes	1	$3,710.33
2006-12-29	Snow	STREATOR TOWNSHIP HIGH SCHOOL DISTRICT  40	Yes	1	$899.07
2006-12-29	Snow	TONICA, VILLAGE OF	No	2	$2,240.73
2006-12-29	Snow	TROY GROVE ROAD DISTRICT	No	1	$4,080.89
2006-12-29	Snow	UTICA, TOWNSHIP OF	No	1	$4,132.71
2006-12-29	Snow	VERMILLION TWP. ROAD DISTRICT	No	1	$2,855.16
2006-12-29	Snow	WALLACE TWP. ROAD DISTRICT	No	1	$3,613.49
2006-12-29	Snow	WALTHAM TWP. ROAD DISTRICT	No	1	$3,284.75
2006-12-29	Snow	WENONA, CITY OF	No	1	$3,610.15
