Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2003-03-27	Snow	AMENIA (TOWN OF)	No	1	$8,422.80
2003-03-27	Snow	ARLINGTON CENTRAL SCHOOL DISTRICT	Yes	1	$11,613.06
2003-03-27	Snow	BEACON, CITY OF	No	1	$27,549.46
2003-03-27	Snow	BEACON CITY SCHOOLS	Yes	1	$10,142.46
2003-03-27	Snow	BEEKMAN (TOWN OF)	No	1	$26,468.71
2003-03-27	Snow	CLINTON (TOWN OF)	No	1	$9,843.59
2003-03-27	Snow	DEVEREUX	No	1	$1,673.62
2003-03-27	Snow	DOVER PLAINS (TOWN OF)	No	1	$16,539.63
2003-03-27	Snow	DOVER UNION FREE SCHOOL DISTRICT	Yes	1	$2,996.52
2003-03-27	Snow	DUTCHESS (COUNTY)	No	3	$123,638.66
2003-03-27	Snow	DUTCHESS COUNTY BOCES	No	1	$3,542.48
2003-03-27	Snow	EAST FISHKILL (TOWN OF)	No	1	$88,591.00
2003-03-27	Snow	FISHKILL (TOWN OF)	No	1	$27,683.51
2003-03-27	Snow	GREYSTONE PROGRAMS, INC.	No	1	$5,995.28
2003-03-27	Snow	HYDE PARK CENTRAL SCHOOL DIST	Yes	1	$2,434.04
2003-03-27	Snow	HYDE PARK (TOWN OF)	No	1	$14,548.95
2003-03-27	Snow	LA GRANGE (TOWN OF)	No	1	$35,558.86
2003-03-27	Snow	MILAN (TOWN OF)	No	1	$5,651.70
2003-03-27	Snow	MILLBROOK, VILLAGE OF	No	1	$3,852.15
2003-03-27	Snow	MILLERTON, VILLAGE OF	No	1	$3,124.56
2003-03-27	Snow	NORTH EAST (TOWN OF)	No	1	$5,963.79
2003-03-27	Snow	PAWLING CENTRAL SCHOOL DIST	Yes	1	$5,335.70
2003-03-27	Snow	PAWLING (TOWN OF)	No	1	$17,882.54
2003-03-27	Snow	PAWLING, VILLAGE OF	No	1	$5,966.59
2003-03-27	Snow	PINE PLAINS (TOWN OF)	No	1	$7,334.86
2003-03-27	Snow	PLEASANT VALLEY (TOWN OF)	No	1	$31,775.25
2003-03-27	Snow	POUGHKEEPSIE (CITY OF)	No	1	$31,372.28
2003-03-27	Snow	POUGHKEEPSIE CITY SCHOOLS	Yes	1	$7,508.59
2003-03-27	Snow	RED HOOK CENTRAL SCHOOL DISTRICT	Yes	1	$4,039.44
2003-03-27	Snow	RED HOOK (TOWN OF)	No	1	$15,545.39
2003-03-27	Snow	RED HOOK, VILLAGE OF	No	1	$3,102.79
2003-03-27	Snow	RHINEBECK (TOWN OF)	No	1	$12,051.89
2003-03-27	Snow	RHINEBECK, VILLAGE OF	No	1	$6,511.94
2003-03-27	Snow	STANFORD (TOWN OF)	No	1	$9,687.40
2003-03-27	Snow	TIVOLI, VILLAGE OF	No	1	$5,311.30
2003-03-27	Snow	UNION VALE (TOWN OF)	No	1	$7,172.21
2003-03-27	Snow	WAPPINGERS CENTRAL SCHOOL DIST	Yes	1	$8,363.31
2003-03-27	Snow	WAPPINGERS FALLS, VILLAGE OF	No	1	$19,551.24
2003-03-27	Snow	WAPPINGER (TOWN OF)	No	1	$39,481.88
2003-08-23	Other	DUTCHESS (COUNTY)	No	2	$23,540.10
