Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2001-01-24	Snow	ALBION, TOWN OF	No	1	$3,304.33
2001-01-24	Snow	ALLIANT ENERGY CENTER	No	1	$5,333.55
2001-01-24	Snow	BELLEVILLE, VILLAGE OF	No	1	$2,889.23
2001-01-24	Snow	BERRY, TOWN OF	No	1	$3,434.01
2001-01-24	Snow	BLACK EARTH, VILLAGE OF	No	1	$2,525.09
2001-01-24	Snow	BLOOMING GROVE, TOWN OF	No	1	$2,782.65
2001-01-24	Snow	BLUE MOUNDS, TOWN OF	No	1	$2,998.14
2001-01-24	Snow	BLUE MOUNDS, VILLAGE OF	No	1	$1,979.46
2001-01-24	Snow	BROOKLYN, VILLAGE OF	No	1	$1,506.98
2001-01-24	Snow	BURKE, TOWN OF	No	1	$7,021.76
2001-01-24	Snow	CHRISTIANA, TOWN OF	No	1	$3,539.48
2001-01-24	Snow	COTTAGE GROVE, TOWN OF	No	1	$5,251.93
2001-01-24	Snow	CROSS PLAINS, TOWN OF	No	1	$3,296.50
2001-01-24	Snow	CROSS PLAINS, VILLAGE OF	No	1	$1,745.26
2001-01-24	Snow	DANE CO. HIGHWAY & TRANSPORATION DEPT.	No	1	$57,437.71
2001-01-24	Snow	DANE COUNTY ADM DEPT	No	1	$3,093.63
2001-01-24	Snow	DANE COUNTY PARKS	No	1	$1,174.76
2001-01-24	Snow	DANE COUNTY REGIONAL AIRPORT, TRUAX FIELD	No	1	$25,677.58
2001-01-24	Snow	DANE, TOWN OF	No	1	$1,811.78
2001-01-24	Snow	DANE, VILLAGE OF	No	1	$852.62
2001-01-24	Snow	DEERFIELD, TOWNSHIP OF	No	1	$3,073.09
2001-01-24	Snow	DEERFIELD, VILLAGE OF	No	1	$3,390.77
2001-01-24	Snow	DE FOREST, VILLAGE OF	No	1	$3,768.08
2001-01-24	Snow	DUNKIRK, TOWN OF	No	1	$2,645.42
2001-01-24	Snow	DUNN, TOWN OF	No	1	$5,618.99
2001-01-24	Snow	MADISON, CITY OF	No	1	$242,251.00
2001-01-24	Snow	MADISON METROPOLITAN SCHOOL DISTRICT	Yes	1	$9,842.82
2001-01-24	Snow	MADISON, TOWN OF	No	1	$3,296.06
2001-01-24	Snow	MAPLE BLUFF. VILLAGE OF	No	1	$2,767.73
2001-01-24	Snow	MARSHALL PUBLIC SCHOOL DISTRICT	Yes	1	$1,424.56
2001-01-24	Snow	MARSHALL, VILLAGE OF	No	1	$1,925.28
2001-01-24	Snow	MAZOMANIE, TOWN OF, WITHDRAWN	No	1	$0.00
2001-01-24	Snow	MAZOMANIE, VILLAGE OF	No	1	$1,872.06
2001-01-24	Snow	MC FARLAND SCHOOL DISTRICT	Yes	1	$2,209.07
2001-01-24	Snow	MCFARLAND, VILLAGE OF	No	1	$7,868.24
2001-01-24	Snow	MEDINA, TOWN OF	No	1	$2,369.29
2001-01-24	Snow	MIDDLETON, CITY OF	No	1	$8,093.15
2001-01-24	Snow	MIDDLETON CROSS PLAINS AREA SCHOOL DISTRICT	Yes	1	$2,222.91
2001-01-24	Snow	MIDDLETON, TOWN OF	No	1	$4,161.47
2001-01-24	Snow	MONONA, CITY OF	No	1	$7,381.36
2001-01-24	Snow	MONONA GROVE SCHOOL DISTRICT	Yes	1	$1,152.06
2001-01-24	Snow	MONTROSE, TOWN OF	No	1	$1,796.74
2001-01-24	Snow	MOUNT HOREB, VILLAGE OF	No	1	$12,477.55
2001-01-24	Snow	MT HOREB AREA SCHOOL DISTRICT	Yes	1	$1,161.59
2001-01-24	Snow	OREGON SCHOOL DISTRICT	Yes	1	$1,060.72
2001-01-24	Snow	OREGON, TOWN OF	No	1	$6,362.72
2001-01-24	Snow	OREGON, VILLAGE OF	No	1	$4,279.61
2001-01-24	Snow	PERRY, TOWN OF	No	1	$2,654.58
2001-01-24	Snow	PRIMROSE, TOWN OF	No	1	$2,756.78
2001-01-24	Snow	ROXBURY, TOWN OF	No	1	$2,629.24
2001-01-24	Snow	RUTLAND, TOWN OF	No	1	$2,834.62
2001-01-24	Snow	SHOREWOOD HILLS, VILLAGE OF	No	1	$2,223.73
2001-01-24	Snow	SPRINGDALE, TOWN OF	No	1	$2,930.26
2001-01-24	Snow	SPRINGFIELD, TOWN OF	No	1	$3,264.95
2001-01-24	Snow	STOUGHTON AREA SCHOOLS	Yes	1	$4,422.55
2001-01-24	Snow	STOUGHTON, CITY OF	No	1	$9,400.85
2001-01-24	Snow	SUN PRAIRE AREA SCHOOL DISTRICT	Yes	1	$2,212.35
2001-01-24	Snow	SUN PRAIRIE, CITY OF	No	1	$15,551.57
2001-01-24	Snow	VERMONT, TOWNSHIP OF	No	1	$2,291.97
2001-01-24	Snow	VERONA, CITY OF	No	1	$7,726.71
2001-01-24	Snow	VERONA, TOWN OF	No	1	$2,202.75
2001-01-24	Snow	VIENNA, TOWN OF	No	1	$4,495.50
2001-01-24	Snow	WAUNAKEE COMMUNITY SCHOOL DIST	Yes	1	$2,813.57
2001-01-24	Snow	WAUNAKEE, VILLAGE OF	No	1	$5,864.23
2001-01-24	Snow	WESTPORT, TOWN OF	No	1	$2,178.00
2001-01-24	Snow	WINDSOR,  TOWN OF	No	1	$4,880.74
2001-01-24	Snow	WISCONSIN HEIGHTS SCHOOL DIST	Yes	1	$957.18
2001-01-24	Snow	YORK, TOWN OF	No	1	$2,149.88
