Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2010-04-16	Snow	ANNVILLE-CLEONA SCHOOL DISTRICT	Yes	1	$5,207.82
2010-04-16	Snow	ANNVILLE (TOWNSHIP OF)	No	1	$3,501.27
2010-04-16	Snow	BETHEL (TOWNSHIP OF)	No	1	$20,204.05
2010-04-16	Snow	CLEONA	No	1	$8,981.12
2010-04-16	Snow	CORNWALL	No	1	$8,512.88
2010-04-16	Snow	CORNWALL-LEBANON SCHOOL DISTRICT	Yes	1	$15,331.16
2010-04-16	Snow	EASTERN LEBANON SCHOOL DIST	Yes	1	$5,784.77
2010-04-16	Snow	EAST HANOVER (TOWNSHIP OF)	No	1	$9,230.27
2010-04-16	Snow	HEIDELBERG (TOWNSHIP OF)	No	1	$17,803.36
2010-04-16	Snow	JACKSON (TOWNSHIP OF)	No	1	$19,634.57
2010-04-16	Snow	JONESTOWN	No	1	$2,919.83
2010-04-16	Snow	LEBANON	No	1	$43,998.61
2010-04-16	Snow	LEBANON VALLEY COLLEGE	Yes	1	$22,419.69
2010-04-16	Snow	MILLCREEK (TOWNSHIP OF)	No	1	$15,315.62
2010-04-16	Snow	MOUNT GRETNA	No	1	$4,804.09
2010-04-16	Snow	MYERSTOWN	No	1	$6,265.10
2010-04-16	Snow	NORTH ANNVILLE (TOWNSHIP OF)	No	1	$5,375.63
2010-04-16	Snow	NORTH CORNWALL (TOWNSHIP OF)	No	1	$17,519.08
2010-04-16	Snow	NORTH LEBANON (TOWNSHIP OF)	No	1	$17,248.15
2010-04-16	Snow	NORTH LONDONDERRY (TOWNSHIP OF)	No	1	$14,504.78
2010-04-16	Snow	PALMYRA	No	1	$5,949.88
2010-04-16	Snow	RICHLAND	No	1	$8,718.48
2010-04-16	Snow	SOUTH ANNVILLE (TOWNSHIP OF)	No	1	$4,796.25
2010-04-16	Snow	SOUTH LEBANON (TOWNSHIP OF)	No	1	$25,784.99
2010-04-16	Snow	SOUTH LONDONDERRY (TOWNSHIP OF)	No	1	$16,087.49
2010-04-16	Snow	SWATARA (TOWNSHIP OF)	No	1	$19,096.85
2010-04-16	Snow	WEST CORNWALL (TOWNSHIP OF)	No	1	$3,662.24
2010-04-16	Snow	WEST LEBANON (TOWNSHIP OF)	No	2	$10,126.09
