Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
1999-01-08	Snow	ADLAI E STEVENSON DISTRICT 125	No	1	$8,109.61
1999-01-08	Snow	ANTIOCH COMMUNITY HIGH SCHOOL DIST 117	Yes	1	$1,522.87
1999-01-08	Snow	ANTIOCH SCHOOL DISTRICT 34	Yes	1	$1,832.45
1999-01-08	Snow	ANTIOCH TOWNSHIP ROAD DISTRICT	No	1	$10,551.79
1999-01-08	Snow	ANTIOCH, VILLAGE OF	No	1	$30,878.27
1999-01-08	Snow	APTAKISIC-TRIPP SCHOOL DIST 102	Yes	1	$4,705.22
1999-01-08	Snow	AVON TOWNSHIP HIGHWAY DEPT	No	1	$9,685.88
1999-01-08	Snow	BANNOCKBURN SCHOOL DIST 106	Yes	2	$1,151.85
1999-01-08	Snow	BANNOCKBURN, VILLAGE OF	No	1	$4,214.92
1999-01-08	Snow	BEACH PARK, VILLAGE OF	No	1	$7,874.20
1999-01-08	Snow	COLLEGE OF LAKE COUNTY CMNTY	Yes	1	$5,232.57
1999-01-08	Snow	COMMUNITY UNIT SCHOOL DISTRICT 220	Yes	1	$2,678.59
1999-01-08	Snow	CUBA, TOWNSHIP OF	No	1	$18,886.13
1999-01-08	Snow	DEERFIELD PUBLIC SCHOOL DIST 109	Yes	1	$1,570.70
1999-01-08	Snow	DEERFIELD, VILLAGE OF	No	1	$36,456.83
1999-01-08	Snow	DEER PARK, VILLAGE OF	No	1	$16,052.82
1999-01-08	Snow	DIAMOND LAKE SCHOOL DIST 76	Yes	1	$3,204.72
1999-01-08	Snow	ELA, TOWNSHIP OF	No	1	$8,267.08
1999-01-08	Snow	FOX LAKE GRADE SCHOOL DISTRICT 114	Yes	1	$956.36
1999-01-08	Snow	FOX LAKE, VILLAGE OF	No	1	$12,762.84
1999-01-08	Snow	FREMONT SCHOOL DISTRICT 79	Yes	1	$2,281.78
1999-01-08	Snow	FREMONT TWP ROAD DISTRICT	No	1	$7,555.14
1999-01-08	Snow	GRANT COMMUNITY HIGH SCHOOL DIST 124	Yes	1	$2,425.09
1999-01-08	Snow	GRANT TOWNSHIP ROAD DISTRICT	No	1	$12,356.47
1999-01-08	Snow	GRAYSLAKE COMMUNITY HIGH SCHOOL DIST 127	Yes	1	$2,949.01
1999-01-08	Snow	GRAYS LAKE, VILLAGE OF	No	1	$31,938.82
1999-01-08	Snow	GREATER ROUND LAKE FIRE DEPT	No	1	$1,658.12
1999-01-08	Snow	GURNEE SHCOOL DIST 56	No	1	$5,095.40
1999-01-08	Snow	GURNEE, VILLAGE OF	No	1	$37,073.90
1999-01-08	Snow	HAINESVILLE, VILLAGE OF	No	1	$2,832.23
1999-01-08	Snow	HAWTHORN COMM. CONS. SCHOOL DISTRICT 73	Yes	1	$4,334.45
1999-01-08	Snow	HAWTHORN WOODS, VILLAGE OF	No	1	$7,409.66
1999-01-08	Snow	HIGHLAND PARK, CITY OF	No	1	$32,610.45
1999-01-08	Snow	HIGHLAND PARK, PARK DISTRICT OF	No	1	$2,823.79
1999-01-08	Snow	HIGHLAND PARK TWP HIGH SCHOOL DIST 113	Yes	1	$6,715.25
1999-01-08	Snow	HIGHWOOD, CITY OF	No	1	$11,041.38
1999-01-08	Snow	ISLAND LAKE, VILLAGE OF	No	1	$12,338.24
1999-01-08	Snow	KILDEER COUNTRYSIDE C.C. SCHOOL DIST 96	Yes	1	$16,345.28
1999-01-08	Snow	KILDEER, VILLAGE OF	No	1	$9,275.88
1999-01-08	Snow	LAKE BARRINGTON, VILLAGE OF	No	1	$14,672.73
1999-01-08	Snow	LAKE BLUFF, VILLAGE OF	No	1	$7,615.45
1999-01-08	Snow	LAKE COUNTY	No	1	$109,673.66
1999-01-08	Snow	LAKE COUNTY BUILDING COMMISSION	No	1	$2,837.95
1999-01-08	Snow	LAKE COUNTY FOREST PRESERVE DIST	No	1	$9,521.35
1999-01-08	Snow	LAKE COUNTY HEALTH DEPT	No	1	$5,941.77
1999-01-08	Snow	LAKE FOREST, CITY OF	No	1	$78,095.03
1999-01-08	Snow	LAKE FOREST COMMUNITY HS DISTRICT 115	No	1	$4,467.06
1999-01-08	Snow	LAKE FOREST ELEMENTARY DISTRICT 67	No	1	$7,115.51
1999-01-08	Snow	LAKE VILLA C.C. SHCOOL DIST 41	No	1	$896.21
1999-01-08	Snow	LAKE VILLA, TOWNSHIP OF	No	1	$11,746.94
1999-01-08	Snow	LAKE ZURICH COMMUNITY UNIT SCHOOL DIST 95	Yes	1	$8,995.25
1999-01-08	Snow	LAKE ZURICH, VILLAGE OF	No	1	$35,332.52
1999-01-08	Snow	LIBERTYVILLE HIGH SCHOOL DIST 128	Yes	1	$4,294.81
1999-01-08	Snow	LIBERTYVILLE SCHOOL DISTRICT 70	Yes	1	$3,462.83
1999-01-08	Snow	LIBERTYVILLE TOWNSHIP HIGHWAY DEPT	No	1	$10,813.35
1999-01-08	Snow	LIBERTYVILLE, VILLAGE OF	No	1	$40,822.54
1999-01-08	Snow	LINCOLNSHIRE-PRAIRIE VIEW SCH DIST 103	Yes	1	$7,961.89
1999-01-08	Snow	LINCOLNSHIRE, VILLAGE OF	No	1	$12,467.93
1999-01-08	Snow	LINDENHURST, VILLAGE OF	No	1	$13,955.62
1999-01-08	Snow	MILLBURN C.C. SCHOOL DIST 24	Yes	1	$1,170.95
1999-01-08	Snow	MUNDELEIN CONSOLIDATED HIGH SCHL DIST 120	Yes	1	$3,316.08
1999-01-08	Snow	MUNDELEIN ELEMENTARY SCHOOL DIST 75	Yes	1	$3,589.48
1999-01-08	Snow	MUNDELEIN, VILLAGE OF	No	1	$31,482.07
1999-01-08	Snow	NEWPORT, TOWNSHIP OF	No	1	$3,851.53
1999-01-08	Snow	NORTH BARRINGTON, VILLAGE OF	No	1	$13,947.92
1999-01-08	Snow	NORTH CHICAGO, CITY OF	No	1	$21,436.70
1999-01-08	Snow	NORTH CHICAGO COMMUNITY UNIT SCHOOL DIST 187	Yes	1	$4,415.71
1999-01-08	Snow	NORTH SHORE SCHOOL DISTRICT 112	Yes	1	$5,201.10
1999-01-08	Snow	ROUND LAKE AREA CO UNIT SCHOOL DIST 116	Yes	1	$6,399.57
1999-01-08	Snow	ROUND LAKE AREA PARK DISTRICT	No	1	$2,051.09
1999-01-08	Snow	ROUND LAKE BEACH, VILLAGE OF	No	1	$12,584.79
1999-01-08	Snow	ROUND LAKE HEIGHTS, VILLAGE OF	No	2	$2,319.31
1999-01-08	Snow	ROUND LAKE PARK, VILLAGE OF	No	1	$6,698.43
1999-01-08	Snow	ROUND LAKE, VILLAGE OF	No	1	$11,141.35
1999-01-08	Snow	THIRD LAKE, VILLAGE OF	No	1	$1,815.37
1999-01-08	Snow	TOWER LAKES, VILLAGE OF	No	1	$805.40
1999-01-08	Snow	VERNON HILLS	No	1	$24,406.72
