Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2003-03-14	Severe Storm(s)	ALLEGHENY (TOWNSHIP OF)	No	1	$8,093.14
2003-03-14	Severe Storm(s)	ALTOONA CITY	No	1	$46,811.43
2003-03-14	Severe Storm(s)	ALTOONA HOSPITAL	No	1	$9,590.39
2003-03-14	Severe Storm(s)	ALTOONA SCHOOL DISTRICT	Yes	1	$8,420.28
2003-03-14	Severe Storm(s)	ANTIS (TOWNSHIP OF)	No	1	$4,480.35
2003-03-14	Severe Storm(s)	BELLWOOD BOROUGH	No	1	$3,069.42
2003-03-14	Severe Storm(s)	BLAIR COUNTY AIRPORT AUTHORITY	No	1	$2,130.27
2003-03-14	Severe Storm(s)	BLAIR COUNTY COMMISSIONERS (HIGHWAY)	No	1	$5,929.67
2003-03-14	Severe Storm(s)	BLAIR (TOWNSHIP OF)	No	1	$2,680.89
2003-03-14	Severe Storm(s)	CATHARINE (TOWNSHIP OF)	No	1	$2,342.88
2003-03-14	Severe Storm(s)	DUNCANSVILLE BORO	No	1	$2,455.52
2003-03-14	Severe Storm(s)	FRANKSTOWN (TOWNSHIP OF)	No	1	$12,602.22
2003-03-14	Severe Storm(s)	FREEDOM (TOWNSHIP OF)	No	1	$2,801.96
2003-03-14	Severe Storm(s)	GREENFIELD TOWNSHIP	No	1	$2,184.47
2003-03-14	Severe Storm(s)	HOLLIDAYSBURG AREA SCHOOL DISTRICT	Yes	1	$5,027.39
2003-03-14	Severe Storm(s)	HOLLIDAYSBURG BORO	No	1	$7,400.49
2003-03-14	Severe Storm(s)	HUSTON (TOWNSHIP OF)	No	1	$5,539.49
2003-03-14	Severe Storm(s)	JUNIATA (TOWNSHIP OF)	No	1	$2,105.17
2003-03-14	Severe Storm(s)	LOGAN TOWNSHIP	No	1	$8,480.75
2003-03-14	Severe Storm(s)	MARTINSBURG BORO	No	1	$1,728.43
2003-03-14	Severe Storm(s)	NEWRY BOROUGH	No	1	$0.00
2003-03-14	Severe Storm(s)	NORTH WOODBURY (TOWNSHIP OF)	No	1	$3,497.28
2003-03-14	Severe Storm(s)	PENN STATE ALTOONA CAMPUS	No	1	$3,621.19
2003-03-14	Severe Storm(s)	ROARING SPRING (BOROUGH OF)	No	1	$6,278.98
2003-03-14	Severe Storm(s)	SNYDER (TOWNSHIP OF)	No	1	$7,510.81
2003-03-14	Severe Storm(s)	SPRING COVE SCHOOL DISTRICT	Yes	1	$3,847.19
2003-03-14	Severe Storm(s)	TAYLOR (TOWNSHIP OF)	No	1	$4,034.04
2003-03-14	Severe Storm(s)	TYRONE BOROUGH	No	1	$5,008.89
2003-03-14	Severe Storm(s)	TYRONE (TOWNSHIP OF)	No	1	$2,494.13
2003-03-14	Severe Storm(s)	WILLIAMSBURG BOROUGH	No	1	$0.00
2003-03-14	Severe Storm(s)	WOODBURY (TOWNSHIP OF)	No	1	$3,171.04
