Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2007-02-23	Snow	ADIRONDACK CENTRAL SCHOOL DIST	Yes	1	$1,824.03
2007-02-23	Snow	ANNSVILLE (TOWN OF)	No	1	$17,233.29
2007-02-23	Snow	AUGUSTA (TOWN OF)	No	1	$11,018.95
2007-02-23	Snow	AVA (TOWN OF)	No	1	$3,906.66
2007-02-23	Snow	BOONVILLE (TOWN OF)	No	1	$9,194.59
2007-02-23	Snow	BOONVILLE, VILLAGE OF	No	1	$4,252.10
2007-02-23	Snow	BRIDGEWATER (TOWN OF)	No	1	$6,037.64
2007-02-23	Snow	CAMDEN CENTRAL SCHOOL DIST OFC	Yes	1	$4,268.90
2007-02-23	Snow	CAMDEN (TOWN OF)	No	1	$9,802.22
2007-02-23	Snow	CAMDEN, VILLAGE OF	No	1	$4,931.70
2007-02-23	Snow	CLINTON	No	1	$2,124.21
2007-02-23	Snow	CLINTON CENTRAL SCHOOL DIST	Yes	1	$2,237.66
2007-02-23	Snow	DEERFIELD (TOWN OF)	No	1	$11,738.83
2007-02-23	Snow	FLORENCE (TOWN OF)	No	1	$6,766.80
2007-02-23	Snow	FLOYD FIRE DISTRICT	No	2	$2,877.80
2007-02-23	Snow	FLOYD (TOWN OF)	No	1	$10,709.41
2007-02-23	Snow	FORESTPORT (TOWN OF)	No	1	$13,480.52
2007-02-23	Snow	HOLLAND PATENT MIDDLE SCHOOL	Yes	1	$17,675.36
2007-02-23	Snow	KIRKLAND (TOWN OF)	No	1	$17,262.52
2007-02-23	Snow	LEE (TOWN OF)	No	1	$12,235.35
2007-02-23	Snow	MARCY (TOWN OF)	No	1	$12,275.33
2007-02-23	Snow	MARSHALL (TOWN OF)	No	1	$13,648.39
2007-02-23	Snow	MOHAWK VALLEY COMMUNITY CLG	No	1	$9,766.51
2007-02-23	Snow	NEW HARTFORD	No	1	$2,364.00
2007-02-23	Snow	NEW HARTFORD CENTRAL SCHOOL DISTRICT	Yes	1	$9,758.10
2007-02-23	Snow	NEW HARTFORD (TOWN OF)	No	2	$47,399.30
2007-02-23	Snow	NEW YORK MILLS UNION FREE SCHL	Yes	1	$3,525.29
2007-02-23	Snow	NEW YORK MILLS, VILLAGE OF	No	1	$7,774.88
2007-02-23	Snow	ONEIDA (COUNTY)	No	2	$296,769.08
2007-02-23	Snow	ONEIDA CTY DEPT WTR QUALITY/POLLUTION CONTROL	No	1	$4,258.57
2007-02-23	Snow	ONEIDA HERKIMER MADISON BOCES	No	1	$2,809.39
2007-02-23	Snow	ORISKANY CENTRAL SCHOOL	Yes	1	$3,108.64
2007-02-23	Snow	ORISKANY,VILLAGE OF	No	1	$10,860.06
2007-02-23	Snow	PARIS (TOWN OF)	No	1	$27,210.76
2007-02-23	Snow	REMSEN (TOWN OF)	No	1	$11,109.75
2007-02-23	Snow	REMSEN (VILLAGE OF)	No	1	$1,218.72
2007-02-23	Snow	ROME, CITY OF	No	1	$75,458.34
2007-02-23	Snow	ROME CITY SCHOOL DISTRICT	Yes	1	$8,208.52
2007-02-23	Snow	SANGERFIELD (TOWN OF)	No	1	$8,556.21
2007-02-23	Snow	SAUQUOIT VALLEY C.S.D.	No	1	$1,490.02
2007-02-23	Snow	SHERRILL (CITY OF)	No	1	$9,887.56
2007-02-23	Snow	SHERRILL CITY SCHOOL DISTRICT	Yes	1	$5,008.24
2007-02-23	Snow	STEUBEN (TOWN OF)	No	1	$8,705.69
2007-02-23	Snow	SYLVAN BEACH,VILLAGE OF	No	1	$6,470.10
2007-02-23	Snow	THE ARC ONEIDA CHAPTER (NYSARC)	No	2	$5,880.28
2007-02-23	Snow	TRENTON (TOWN OF)	No	1	$16,420.67
2007-02-23	Snow	UTICA (CITY OF)	No	2	$53,546.48
2007-02-23	Snow	UTICA CITY SCHOOL DISTRICT	Yes	1	$19,132.96
2007-02-23	Snow	UTICA MUNICIPAL HOUSING AUTHORITY	No	1	$18,023.69
2007-02-23	Snow	VERNON (TOWN OF)	No	1	$8,488.55
2007-02-23	Snow	VERNON, VILLAGE OF	No	1	$3,675.18
2007-02-23	Snow	VERONA (TOWN OF)	No	1	$21,479.27
2007-02-23	Snow	VIENNA (TOWN OF)	No	1	$15,587.44
2007-02-23	Snow	WESTERN (TOWN OF)	No	1	$15,244.81
2007-02-23	Snow	WESTMORELAND CENTRAL SCHOOLS	Yes	1	$4,197.24
2007-02-23	Snow	WESTMORELAND (TOWN OF)	No	1	$10,079.61
2007-02-23	Snow	WHITESBORO CENTRAL SCHOOL DISTRICT	Yes	1	$2,830.41
2007-02-23	Snow	WHITESBORO, VILLAGE OF	No	1	$5,059.82
2007-02-23	Snow	WHITESTOWN (TOWN OF)	No	2	$27,114.71
2007-02-23	Snow	YORKVILLE, VILLAGE OF	No	1	$5,083.55
