Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2004-03-03	Snow	AUBURN, CITY OF	No	1	$27,983.03
2004-03-03	Snow	AUBURN ENLARGED CITY SCHL DIST	Yes	2	$6,247.05
2004-03-03	Snow	AUBURN HOUSING AUTHORITY	No	1	$2,784.52
2004-03-03	Snow	AUBURN MEMORIAL HOSPITAL	No	1	$3,423.08
2004-03-03	Snow	AURELIUS (TOWN OF)	No	2	$6,848.82
2004-03-03	Snow	BRUTUS (TOWN OF)	No	2	$4,864.71
2004-03-03	Snow	CATO-MERIDIAN CENTRAL SCHOOL	Yes	1	$1,590.02
2004-03-03	Snow	CATO (TOWN OF)	No	1	$8,117.33
2004-03-03	Snow	CAYUGA COMMUNITY COLLEGE	Yes	1	$2,327.53
2004-03-03	Snow	CAYUGA (COUNTY)	No	2	$74,240.86
2004-03-03	Snow	CAYUGA HOME FOR CHILDREN	No	1	$1,614.83
2004-03-03	Snow	CAYUGA - ONODAGA BOCES	No	2	$1,355.50
2004-03-03	Snow	CAYUGA SOIL & WATER CONSERVATION	No	1	$0.00
2004-03-03	Snow	CAYUGA, VILLAGE OF	No	2	$3,333.61
2004-03-03	Snow	CONQUEST (TOWN OF)	No	2	$9,090.16
2004-03-03	Snow	FAIR HAVEN	No	1	$2,114.74
2004-03-03	Snow	FLEMING (TOWN OF)	No	2	$4,782.81
2004-03-03	Snow	GENOA (TOWN OF)	No	2	$3,357.90
2004-03-03	Snow	IRA (TOWN OF)	No	1	$9,449.65
2004-03-03	Snow	LEDYARD (TOWN OF)	No	2	$5,934.58
2004-03-03	Snow	LOCKE (TOWN OF)	No	2	$11,104.64
2004-03-03	Snow	MENTZ (TOWN OF)	No	2	$7,592.37
2004-03-03	Snow	MERCY HEALTH & REHABILITATION CENTER	No	1	$1,494.23
2004-03-03	Snow	MONTEZUMA, HIGHWAY DEPARTMENT	No	2	$5,944.31
2004-03-03	Snow	MORAVIA	No	1	$1,676.45
2004-03-03	Snow	MORAVIA CENTRAL SCHOOL DIST	Yes	1	$1,054.98
2004-03-03	Snow	MORAVIA (TOWN OF)	No	2	$2,404.63
2004-03-03	Snow	NILES (TOWN OF)	No	1	$2,856.64
2004-03-03	Snow	OWASCO (TOWN OF)	No	1	$6,618.45
2004-03-03	Snow	PORT BYRON, VILLAGE OF	No	1	$837.79
2004-03-03	Snow	SCIPIO (TOWN OF)	No	2	$7,572.30
2004-03-03	Snow	SEMPRONIUS (TOWN OF)	No	2	$8,342.16
2004-03-03	Snow	SENNETT (TOWN OF)	No	2	$7,504.61
2004-03-03	Snow	SOUTHERN CAYUGA CENTRAL SCHOOL	Yes	2	$3,141.56
2004-03-03	Snow	SPRINGPORT (TOWN OF)	No	2	$5,000.85
2004-03-03	Snow	STERLING (TOWN OF)	No	2	$10,166.62
2004-03-03	Snow	SUMMERHILL (TOWN OF)	No	2	$5,381.32
2004-03-03	Snow	THROOP (TOWN OF)	No	2	$7,304.00
2004-03-03	Snow	UNION SPRINGS, VILLAGE OF	No	2	$1,766.18
2004-03-03	Snow	VENICE (TOWN OF)	No	2	$10,778.78
2004-03-03	Snow	VICTORY (TOWN OF)	No	2	$5,063.42
2004-03-03	Snow	WEEDSPORT	No	1	$1,136.57
