Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2001-01-24	Snow	ARLINGTON, TOWNSHIP OF	No	1	$2,150.80
2001-01-24	Snow	ARLINGTON, VILLAGE OF	No	1	$913.32
2001-01-24	Snow	CALEDONIA, TOWNSHIP OF	No	1	$4,699.42
2001-01-24	Snow	CAMBRIA, VILLAGE OF	No	1	$1,359.29
2001-01-24	Snow	COLUMBIA COUNTY HIGHWAY & TRANSPORTATION	No	1	$31,650.66
2001-01-24	Snow	COLUMBUS, CITY OF	No	1	$7,964.40
2001-01-24	Snow	COLUMBUS SCHOOL DISTRICT	Yes	1	$2,492.16
2001-01-24	Snow	COLUMBUS,TOWN OF	No	1	$1,768.10
2001-01-24	Snow	COURTLAND, TOWNSHIP OF	No	1	$1,039.16
2001-01-24	Snow	DEKORRA, TOWNSHIP OF	No	1	$4,080.17
2001-01-24	Snow	FALL RIVER PUBLIC SCHOOL	Yes	1	$1,651.82
2001-01-24	Snow	FALL RIVER, VILLAGE OF	No	1	$1,993.92
2001-01-24	Snow	FORT WINNEBAGO, TOWN OF	No	1	$1,712.64
2001-01-24	Snow	FOUNTAIN PRAIRIE, TOWN OF	No	1	$1,828.74
2001-01-24	Snow	FRIESLAND, VILLAGE OF	No	1	$857.66
2001-01-24	Snow	HAMPDEN, TOWN OF	No	1	$2,079.85
2001-01-24	Snow	LEEDS, TOWN OF	No	1	$1,749.34
2001-01-24	Snow	LEWISTON, TOWN OF	No	1	$1,874.30
2001-01-24	Snow	LODI, CITY OF	No	1	$2,800.88
2001-01-24	Snow	LODI SCHOOL DIST	Yes	1	$6,358.33
2001-01-24	Snow	LODI, TOWN OF	No	1	$2,543.99
2001-01-24	Snow	LOWVILLE, TOWN OF	No	1	$1,565.61
2001-01-24	Snow	MARCELLON,TOWNSHIP OF	No	1	$1,467.67
2001-01-24	Snow	NEWPORT, TOWN OF	No	1	$1,443.66
2001-01-24	Snow	OSTEGO, TOWN OF	No	1	$1,755.79
2001-01-24	Snow	PACIFIC, TOWN OF	No	1	$1,667.68
2001-01-24	Snow	PARDEEVILLE AREA SCHOOL DIST	Yes	1	$983.42
2001-01-24	Snow	PARDEEVILLE,VILLAGE OF	No	1	$1,446.16
2001-01-24	Snow	PORTAGE, CITY OF	No	1	$12,660.73
2001-01-24	Snow	PORTAGE COMMUNITY SCHOOL DIST	Yes	1	$2,465.65
2001-01-24	Snow	POYNETTE, SCHOOL DISTRICT	Yes	1	$1,721.35
2001-01-24	Snow	POYNETTE, VILLAGE OF	No	1	$1,568.00
2001-01-24	Snow	RANDOLPH, TOWN OF	No	1	$1,298.09
2001-01-24	Snow	RANDOLPH, VILLAGE OF	No	1	$1,600.02
2001-01-24	Snow	RIO COMMUNITY SCHOOLS	Yes	1	$794.11
2001-01-24	Snow	RIO, VILLAGE OF	No	1	$1,020.99
2001-01-24	Snow	SCOTT, TOWN OF	No	1	$1,176.74
2001-01-24	Snow	SPRINGVALE, TOWN OF	No	1	$1,374.15
2001-01-24	Snow	ST MARY'S CATHOLIC SCHOOL	Yes	1	$888.63
2001-01-24	Snow	WEST POINT, TOWN OF	No	1	$1,911.99
2001-01-24	Snow	WISCONSIN DELLS, CITY OF	No	1	$8,248.27
2001-01-24	Snow	WYOCENA, TOWN OF	No	1	$2,207.87
2001-01-24	Snow	WYOCENA, VILLAGE OF	No	1	$1,327.32
