Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2011-04-05	Snow	BAYSIDE	No	1	$10,823.75
2011-04-05	Snow	BROWN DEER	No	1	$8,808.43
2011-04-05	Snow	BROWN DEER SCHOOL DISTRICT	Yes	1	$8,182.52
2011-04-05	Snow	CUDAHY	No	1	$46,589.09
2011-04-05	Snow	CUDAHY SCHOOL DISTRICT	Yes	1	$5,711.15
2011-04-05	Snow	DARRELL LYNN HINES ACADEMY	Yes	1	$1,489.50
2011-04-05	Snow	DEPT. OF PARKS, RECREATION & CULTURE	No	1	$64,982.87
2011-04-05	Snow	DESTINY HIGH SCHOOL	Yes	1	$1,858.50
2011-04-05	Snow	DIVINE SAVIOR-HOLY ANGELS HIGH	No	1	$3,056.25
2011-04-05	Snow	FOX POINT	No	1	$21,572.84
2011-04-05	Snow	FRANKLIN	No	3	$47,127.56
2011-04-05	Snow	GLENDALE	No	1	$47,807.24
2011-04-05	Snow	GREENDALE	No	1	$48,752.18
2011-04-05	Snow	GREENDALE SCHOOL DISTRICT	Yes	1	$7,412.54
2011-04-05	Snow	GREENFIELD	No	1	$45,868.43
2011-04-05	Snow	GREENFIELD SCHOOL DIST	Yes	1	$10,012.69
2011-04-05	Snow	HALES CORNERS	No	1	$13,258.58
2011-04-05	Snow	HOUSING AUTHORITY OF THE CITY OF MILWAUKEE	No	1	$16,941.62
2011-04-05	Snow	MARQUETTE UNIVERSITY	Yes	1	$20,785.29
2011-04-05	Snow	MILWAUKEE AREA TECHNICAL	No	1	$29,572.43
2011-04-05	Snow	MILWAUKEE CO DEPT OF HEALTH & HUMAN SERVICES	No	1	$12,197.50
2011-04-05	Snow	MILWAUKEE COUNTY DEPARTMENT OF PUBLIC WORKS	No	1	$49,411.02
2011-04-05	Snow	MILWAUKEE COUNTY SHERIFF DEPT	No	1	$20,225.42
2011-04-05	Snow	MILWAUKEE COUNTY ZOO	No	1	$3,341.39
2011-04-05	Snow	MILWAUKEE DEPT OF PUBLIC WORKS	No	1	$969,042.60
2011-04-05	Snow	MILWAUKEE FIRE DEPT	No	1	$6,373.20
2011-04-05	Snow	MILWAUKEE METROPOLITAN SEWERAGE DISTRICT	No	1	$7,291.50
2011-04-05	Snow	MILWAUKEE POLICE DEPT	No	1	$2,030.63
2011-04-05	Snow	MILWAUKEE PUBLIC SCHOOLS	Yes	1	$54,701.01
2011-04-05	Snow	NICOLET HIGH SCHOOL DISTRICT	Yes	1	$3,159.67
2011-04-05	Snow	NORTH SHORE FIRE DEPT	No	1	$1,101.39
2011-04-05	Snow	OAK CREEK	No	1	$87,518.66
2011-04-05	Snow	OAK CREEK FRANKLIN SCHOOL DIST	Yes	1	$12,713.30
2011-04-05	Snow	PORT OF MILWAUKEE	No	2	$30,354.63
2011-04-05	Snow	RIVER HILLS	No	1	$15,954.74
2011-04-05	Snow	SCHOOL DISTRICT OF SOUTH MILWAUKEE	Yes	1	$8,513.51
2011-04-05	Snow	SHOREWOOD	No	1	$11,325.53
2011-04-05	Snow	SHOREWOOD SCHOOL DISTRICT OFC	Yes	1	$5,202.49
2011-04-05	Snow	SOUTH MILWAUKEE	No	1	$44,643.17
2011-04-05	Snow	SOUTH MILWAUKEE COMMUNITY DEVELPOMENT AUTHORITY	No	1	$2,067.76
2011-04-05	Snow	ST. FRANCIS	No	1	$21,181.85
2011-04-05	Snow	UNIVERSITY OF WISCONSIN - MILWAUKEE	Yes	1	$8,309.03
2011-04-05	Snow	WAUWATOSA	No	1	$69,953.70
2011-04-05	Snow	WAUWATOSA SCHOOL DISTRICT	Yes	1	$8,166.89
2011-04-05	Snow	WEST ALLIS	No	1	$95,555.33
2011-04-05	Snow	WHITEFISH BAY	No	1	$14,699.72
2011-04-05	Snow	WHITEFISH BAY SCHOOL DISTRICT	Yes	1	$2,523.47
