Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2001-01-24	Snow	BAYSIDE SCHOOL DISTRICT, FOX POINT	Yes	1	$2,345.94
2001-01-24	Snow	BAYSIDE, VILLAGE OF	No	1	$5,555.17
2001-01-24	Snow	BROWN DEER SCHOOL DISTRICT	Yes	1	$1,362.16
2001-01-24	Snow	BROWN DEER, VILLAGE OF	No	1	$10,869.28
2001-01-24	Snow	CUDAHY, CITY OF	No	1	$16,110.59
2001-01-24	Snow	DEPT. OF PARKS, RECREATION & CULTURE	No	1	$19,066.24
2001-01-24	Snow	FOX POINT,VILLAGE OF	No	1	$10,345.44
2001-01-24	Snow	FRANKLIN, CITY OF	No	1	$24,612.70
2001-01-24	Snow	GLENDALE, CITY OF	No	1	$24,333.60
2001-01-24	Snow	GREENDALE SCHOOL DISTRICT	Yes	1	$2,868.29
2001-01-24	Snow	GREENDALE, VILLAGE OF	No	1	$17,842.00
2001-01-24	Snow	GREENFIELD, CITY OF	No	1	$39,895.82
2001-01-24	Snow	HALES CORNERS, VILLAGE OF	No	1	$7,045.95
2001-01-24	Snow	MILWAUKEE, CITY OF	No	2	$832,959.52
2001-01-24	Snow	MILWAUKEE COUNTY DEPARTMENT OF PUBLIC WORKS	No	1	$186,688.35
2001-01-24	Snow	MILWAUKEE COUNTY SHERIFF DEPT	No	1	$0.00
2001-01-24	Snow	MILWAUKEE COUNTY TRANSIT	No	1	$4,958.90
2001-01-24	Snow	MILWAUKEE PUBLIC SCHOOLS	Yes	1	$39,141.81
2001-01-24	Snow	NICOLET HIGH SCHOOL DISTRICT	Yes	1	$2,289.10
2001-01-24	Snow	NORTH SHORE FIRE DEPT	No	1	$1,514.90
2001-01-24	Snow	OAK CREEK, CITY OF	No	1	$35,863.27
2001-01-24	Snow	RIVER HILLS, VILLAGE OF	No	1	$9,168.80
2001-01-24	Snow	SACRED HEART MIDDLE SCHOOL	Yes	1	$0.00
2001-01-24	Snow	SCHOOL DISTRICT OF CUDAHY	Yes	1	$3,813.74
2001-01-24	Snow	SCHOOL DISTRICT OF SOUTH MILWAUKEE	Yes	1	$7,235.65
2001-01-24	Snow	SHOREWOOD, VILLAGE OF	No	1	$10,472.80
2001-01-24	Snow	SISTERS OF ST. FRANCIS OF ASSISI, INC.	No	1	$1,044.02
2001-01-24	Snow	SOUTH MILWAUKEE, CITY OF	No	1	$19,496.63
2001-01-24	Snow	ST. FRANCIS, CITY OF	No	1	$11,244.96
2001-01-24	Snow	THOMAS MORE HIGH SCHOOL	Yes	1	$2,284.87
2001-01-24	Snow	WAUWATOSA, CITY OF	No	1	$47,477.95
2001-01-24	Snow	WAUWATOSA SCHOOL DISTRICT	Yes	1	$6,256.21
2001-01-24	Snow	WEST ALLIS, CITY OF	No	1	$62,519.70
2001-01-24	Snow	WEST MILWAUKEE, VILLAGE OF	No	1	$5,294.97
2001-01-24	Snow	WHITEFISH BAY, VILLAGE OF	No	1	$11,433.52
