Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2001-04-10	Snow	ATHENS (TOWN OF)	No	1	$3,683.15
2001-04-10	Snow	BRATTLEBORO AREA COMMUNITY LAND TRUST	No	1	$1,448.40
2001-04-10	Snow	BRATTLEBORO (TOWN OF)	No	1	$23,765.83
2001-04-10	Snow	DOVER (TOWN OF)	No	1	$9,118.44
2001-04-10	Snow	DUMMERSTON (TOWN OF)	No	1	$7,180.79
2001-04-10	Snow	GRAFTON (TOWN OF)	No	1	$11,088.57
2001-04-10	Snow	GUILFORD (TOWN OF)	No	1	$6,401.03
2001-04-10	Snow	HALIFAX (TOWN OF)	No	1	$8,098.97
2001-04-10	Snow	LONDONDERRY (TOWN OF)	No	1	$3,187.64
2001-04-10	Snow	MARLBORO (TOWN OF)	No	1	$2,245.34
2001-04-10	Snow	NEWFANE (TOWN OF)	No	1	$5,084.52
2001-04-10	Snow	PUTNEY (TOWN OF)	No	1	$5,517.39
2001-04-10	Snow	ROCKINGHAM (TOWN OF)	No	1	$11,823.35
2001-04-10	Snow	SOMERSET (TOWN OF)	No	1	$0.00
2001-04-10	Snow	STRATTON (TOWN OF)	No	1	$3,314.63
2001-04-10	Snow	TOWNSHEND (TOWN OF)	No	1	$5,683.15
2001-04-10	Snow	VERNON (TOWN OF)	No	1	$4,390.10
2001-04-10	Snow	WARDSBORO (TOWN OF)	No	1	$3,118.38
2001-04-10	Snow	WESTMINSTER (TOWN OF)	No	1	$4,344.89
2001-04-10	Snow	WHITINGHAM (TOWN OF)	No	1	$7,493.43
2001-04-10	Snow	WILMINGTON (TOWN OF)	No	1	$7,716.09
2001-04-10	Snow	WINDHAM (TOWN OF)	No	1	$2,498.56
