Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
1999-01-08	Snow	ALPHA, VILLAGE OF	No	1	$996.81
1999-01-08	Snow	ANDOVER ROAD DISTRICT	No	1	$1,988.28
1999-01-08	Snow	ANDOVER, VILLAGE OF	No	1	$1,848.65
1999-01-08	Snow	ANNAWAN TOWNSHIP ROAD DISTRICT	No	1	$2,680.79
1999-01-08	Snow	ANNAWAN, VILLAGE OF	No	1	$2,351.59
1999-01-08	Snow	ATKINSON TOWNSHIP ROAD DISTRICT	No	1	$1,802.42
1999-01-08	Snow	ATKINSON, VILLAGE OF	No	1	$2,119.97
1999-01-08	Snow	BLACK HAWK COLLEGE	Yes	1	$1,864.89
1999-01-08	Snow	BURNS TOWNSHIP ROAD DISTRICT	No	1	$3,224.07
1999-01-08	Snow	CAMBRIDGE TOWNSHIP ROAD DISTRICT	No	1	$2,585.18
1999-01-08	Snow	CAMBRIDGE, VILLAGE OF	No	1	$5,703.11
1999-01-08	Snow	CLEVELAND, VILLAGE OF	No	1	$804.18
1999-01-08	Snow	CLOVER TOWNSHIP ROAD DISTRICT	No	1	$1,810.28
1999-01-08	Snow	COLONA, CITY OF	No	1	$3,816.14
1999-01-08	Snow	COLONA, TOWNSHIP OF	No	1	$4,466.19
1999-01-08	Snow	CORNWALL TOWNSHIP ROAD DISTRICT	No	1	$2,817.96
1999-01-08	Snow	EDFORD TOWNSHIP ROAD DISTRICT	No	1	$0.00
1999-01-08	Snow	GALVA, CITY OF	No	1	$4,984.41
1999-01-08	Snow	GALVA, TOWNSHIP OF	No	1	$1,978.16
1999-01-08	Snow	GENESEO, CITY OF	No	1	$11,622.41
1999-01-08	Snow	GENESEO COMMUNITY UNIT SD 228	No	1	$1,422.00
1999-01-08	Snow	GENESEO TOWNSHIP ROAD DISTRICT	No	1	$1,630.51
1999-01-08	Snow	HANNA TOWNSHIP ROAD DISTRICT	No	1	$3,588.28
1999-01-08	Snow	HENRY COUNTY HIGHWAY DEPARTMENT	No	1	$19,188.60
1999-01-08	Snow	HOOPPOLE, VILLAGE OF	No	1	$946.95
1999-01-08	Snow	HOUSING AUTHORITY OF HENRY COUNTY	No	1	$1,609.81
1999-01-08	Snow	KEWANEE, CITY OF	No	1	$24,059.55
1999-01-08	Snow	KEWANEE COMMUNITY UNIT SCHOOL DISTRICT 229	Yes	1	$3,210.29
1999-01-08	Snow	KEWANEE HEALTH CARE CORPORATION	No	1	$3,409.18
1999-01-08	Snow	KEWANEE, TOWNSHIP OF	No	1	$3,998.00
1999-01-08	Snow	LORAINE ROAD DISTRICT	No	1	$2,119.94
1999-01-08	Snow	LYNN TOWNSHIP ROAD DISTRICT	No	1	$1,965.22
1999-01-08	Snow	MUNSON TOWNSHIP ROAD DISTRICT	No	1	$1,460.72
1999-01-08	Snow	OSCO TOWNSHIP ROAD DISTRICT	No	1	$2,031.93
1999-01-08	Snow	OXFORD ROAD DISTRICT	No	1	$1,634.68
1999-01-08	Snow	PHENIX TOWNSHIP ROAD DISTRICT	No	1	$2,965.48
1999-01-08	Snow	WELLER TOWNSHIP ROAD DISTRICT	No	1	$2,213.72
1999-01-08	Snow	WESTERN, TOWNSHIP OF	No	1	$5,114.60
1999-01-08	Snow	WETHERSFIELD TOWNSHIP ROAD DISTRICT	No	1	$2,836.00
1999-01-08	Snow	WOODHULL, VILLAGE OF	No	1	$1,202.97
1999-01-08	Snow	YORKTOWN, TOWNSHIP OF	No	1	$2,499.62
