Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2011-04-05	Snow	ALBION (TOWN OF)	No	1	$4,786.79
2011-04-05	Snow	BELLEVILLE	No	1	$4,221.59
2011-04-05	Snow	BERRY (TOWN OF)	No	1	$5,540.26
2011-04-05	Snow	BLACK EARTH	No	1	$4,769.99
2011-04-05	Snow	BLOOMING GROVE (TOWN OF)	No	1	$3,490.55
2011-04-05	Snow	BLUE MOUNDS	No	1	$5,229.14
2011-04-05	Snow	BLUE MOUNDS (TOWN OF)	No	1	$5,434.26
2011-04-05	Snow	BRISTOL (TOWN OF)	No	1	$10,479.75
2011-04-05	Snow	BROOKLYN	No	1	$4,220.34
2011-04-05	Snow	BURKE	No	1	$6,615.17
2011-04-05	Snow	CAMBRIDGE	No	1	$5,354.92
2011-04-05	Snow	COTTAGE GROVE	No	1	$11,775.22
2011-04-05	Snow	COTTAGE GROVE (TOWN OF)	No	2	$9,585.77
2011-04-05	Snow	CROSS PLAINS	No	1	$7,356.99
2011-04-05	Snow	CROSS PLAINS (TOWN OF)	No	1	$6,422.26
2011-04-05	Snow	DANE	No	1	$4,312.04
2011-04-05	Snow	DANE (COUNTY)	No	5	$133,131.19
2011-04-05	Snow	DANE (TOWN OF)	No	1	$6,720.20
2011-04-05	Snow	DEERFIELD	No	1	$4,390.48
2011-04-05	Snow	DE FOREST	No	1	$22,056.11
2011-04-05	Snow	DE FOREST AREA SCHOOL DISTRICT	Yes	1	$11,953.61
2011-04-05	Snow	DUNKIRK (TOWN OF)	No	1	$6,458.45
2011-04-05	Snow	DUNN (TOWN OF)	No	1	$14,430.40
2011-04-05	Snow	EDGEWOOD CAMPUS SCHOOL	Yes	1	$957.52
2011-04-05	Snow	FITCHBURG	No	1	$20,614.38
2011-04-05	Snow	MADISON	No	1	$541,298.02
2011-04-05	Snow	MADISON METROPOLITAN SCHOOL DISTRICT	Yes	1	$31,297.05
2011-04-05	Snow	MADISON (TOWN OF)	No	1	$4,756.30
2011-04-05	Snow	MARSHALL	No	1	$4,099.95
2011-04-05	Snow	MARSHALL PUBLIC SCHOOL DISTRICT	Yes	1	$6,353.12
2011-04-05	Snow	MAZOMANIE	No	1	$4,813.25
2011-04-05	Snow	MAZOMANIE (TOWN OF)	No	1	$3,489.34
2011-04-05	Snow	MCFARLAND	No	1	$11,701.61
2011-04-05	Snow	MEDINA (TOWN OF)	No	1	$8,693.79
2011-04-05	Snow	MIDDLETON	No	1	$22,432.62
2011-04-05	Snow	MIDDLETON CROSS PLAINS AREA SCHOOL DISTRICT	Yes	1	$10,087.44
2011-04-05	Snow	MONONA	No	1	$15,462.83
2011-04-05	Snow	MONONA GROVE SCHOOL DISTRICT	Yes	1	$3,266.06
2011-04-05	Snow	MONTROSE (TOWN OF)	No	1	$5,387.25
2011-04-05	Snow	MOUNT HOREB	No	1	$25,623.08
2011-04-05	Snow	OREGON	No	1	$10,432.40
2011-04-05	Snow	OREGON (TOWN OF)	No	1	$10,177.34
2011-04-05	Snow	PERRY (TOWN OF)	No	1	$5,782.25
2011-04-05	Snow	PLEASANT SPRINGS (TOWN OF)	No	1	$5,729.96
2011-04-05	Snow	PRIMROSE (TOWN OF)	No	1	$4,452.35
2011-04-05	Snow	ROXBURY (TOWN OF)	No	1	$10,169.86
2011-04-05	Snow	RUTLAND (TOWN OF)	No	1	$6,904.21
2011-04-05	Snow	SHOREWOOD HILLS	No	1	$7,875.05
2011-04-05	Snow	SPRINGDALE (TOWN OF)	No	1	$4,817.76
2011-04-05	Snow	SPRINGFIELD (TOWN OF)	No	1	$9,403.26
2011-04-05	Snow	STOUGHTON	No	1	$17,389.14
2011-04-05	Snow	SUN PRAIRE AREA SCHOOL DISTRICT	Yes	1	$14,601.44
2011-04-05	Snow	SUN PRAIRIE	No	1	$49,489.22
2011-04-05	Snow	SUN PRAIRIE (TOWN OF)	No	1	$5,867.59
2011-04-05	Snow	UNIVERSITY OF MADISON - FACILITIES PLANNING & MGT	Yes	1	$70,321.28
2011-04-05	Snow	UNIVERSITY OF WISCONSIN - MADISON	Yes	2	$14,689.15
2011-04-05	Snow	VERMONT (TOWN OF)	No	1	$3,319.71
2011-04-05	Snow	VERONA	No	1	$34,891.17
2011-04-05	Snow	VERONA AREA SCHOOLS ADM OFCS	Yes	1	$12,868.57
2011-04-05	Snow	VERONA (TOWN OF)	No	1	$6,784.64
2011-04-05	Snow	VIENNA (TOWN OF)	No	1	$8,738.17
2011-04-05	Snow	WAUNAKEE COMMUNITY SCHOOL DIST	Yes	1	$7,205.99
2011-04-05	Snow	WESTPORT (TOWN OF)	No	1	$5,228.15
2011-04-05	Snow	WINDSOR (TOWN OF)	No	1	$11,809.46
