Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2003-03-11	Snow	AVON (TOWN OF)	No	1	$53,962.05
2003-03-11	Snow	BERLIN (TOWN OF)	No	1	$39,895.83
2003-03-11	Snow	BLOOMFIELD (TOWN OF)	No	1	$32,654.10
2003-03-11	Snow	BRISTOL	No	1	$136,862.55
2003-03-11	Snow	BURLINGTON (TOWN OF)	No	1	$17,773.13
2003-03-11	Snow	CANTON (TOWN OF)	No	1	$19,789.60
2003-03-11	Snow	EAST GRANBY (TOWN OF)	No	1	$6,824.38
2003-03-11	Snow	EAST HARTFORD (TOWN OF)	No	1	$62,714.14
2003-03-11	Snow	EAST WINDSOR (TOWN OF)	No	1	$11,113.07
2003-03-11	Snow	ENFIELD HOUSING AUTHORITY	No	1	$5,079.72
2003-03-11	Snow	ENFIELD (TOWN OF)	No	1	$62,720.67
2003-03-11	Snow	FARMINGTON (TOWN OF)	No	1	$42,405.63
2003-03-11	Snow	FELLOWSHIP HOUSING, INC	No	1	$3,787.67
2003-03-11	Snow	GLASTONBURY (TOWN OF)	No	1	$62,551.47
2003-03-11	Snow	GRANBY	No	1	$17,098.73
2003-03-11	Snow	HARTFORD	No	1	$127,731.98
2003-03-11	Snow	HARTLAND (TOWN OF)	No	1	$3,746.51
2003-03-11	Snow	LOOMIS CHAFFEE SCHOOL	Yes	1	$6,043.14
2003-03-11	Snow	MANCHESTER (TOWN OF)	No	1	$107,240.98
2003-03-11	Snow	MARLBOROUGH (TOWN OF)	No	1	$14,728.16
2003-03-11	Snow	METROPOLITAN DISTRICT COMMISSION, THE	No	1	$28,504.82
2003-03-11	Snow	NEW BRITAIN	No	1	$72,356.70
2003-03-11	Snow	NEW BRITAIN HOUSING AUTHORITY	No	1	$7,042.55
2003-03-11	Snow	NEWINGTON (TOWN OF)	No	1	$48,442.63
2003-03-11	Snow	PLAINVILLE	No	1	$37,400.67
2003-03-11	Snow	RENSSELAER AT  HARTFORD	No	1	$1,895.76
2003-03-11	Snow	ROCKY HILL (TOWN OF)	No	1	$30,226.12
2003-03-11	Snow	SIMSBURY (TOWN OF)	No	1	$34,579.34
2003-03-11	Snow	SOUTHINGTON HOUSING AUTHORITY	No	1	$884.95
2003-03-11	Snow	SOUTHINGTON (TOWN OF)	No	1	$98,672.83
2003-03-11	Snow	SOUTH WINDSOR (TOWN OF)	No	1	$42,568.29
2003-03-11	Snow	ST JOSEPH COLLEGE	Yes	1	$5,227.40
2003-03-11	Snow	SUFFIELD (TOWN OF)	No	1	$24,810.32
2003-03-11	Snow	UNIVERSITY OF HARTFORD	Yes	1	$40,726.82
2003-03-11	Snow	WEST HARTFORD HOUSING AUTHORITY	No	1	$1,979.28
2003-03-11	Snow	WEST HARTFORD (TOWN OF)	No	1	$122,289.43
2003-03-11	Snow	WETHERSFIELD (TOWN OF)	No	1	$46,075.13
2003-03-11	Snow	WINDSOR LOCKS (TOWN OF)	No	1	$23,122.23
2003-03-11	Snow	WINDSOR (TOWN OF)	No	1	$34,293.97
