Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2003-05-12	Severe Ice Storm	BROOKFIELD (TOWN OF)	No	1	$24,365.41
2003-05-12	Severe Ice Storm	CANASTOTA	No	1	$1,846.24
2003-05-12	Severe Ice Storm	CAZENOVIA (TOWN OF)	No	1	$11,793.36
2003-05-12	Severe Ice Storm	DERUYTER (TOWN OF)	No	1	$3,336.95
2003-05-12	Severe Ice Storm	EARLVILLE FIRE DEPT	No	1	$0.00
2003-05-12	Severe Ice Storm	EATON (TOWN OF)	No	2	$21,882.16
2003-05-12	Severe Ice Storm	FENNER (TOWN OF)	No	1	$30,158.65
2003-05-12	Severe Ice Storm	GEORGETOWN (TOWN OF)	No	1	$15,099.08
2003-05-12	Severe Ice Storm	HAMILTON (TOWN OF)	No	2	$8,752.42
2003-05-12	Severe Ice Storm	LEBANON (TOWN OF)	No	2	$6,940.47
2003-05-12	Severe Ice Storm	LINCOLN (TOWN OF)	No	1	$6,739.38
2003-05-12	Severe Ice Storm	MADISON (COUNTY)	No	6	$49,277.87
2003-05-12	Severe Ice Storm	MADISON (TOWN OF)	No	2	$10,805.66
2003-05-12	Severe Ice Storm	NELSON (TOWN OF)	No	1	$12,924.90
2003-05-12	Severe Ice Storm	ONEIDA	No	1	$7,693.67
2003-05-12	Severe Ice Storm	ONEIDA MADISON ELEC CO-OP	No	1	$137,881.41
2003-05-12	Severe Ice Storm	SMITHFIELD (TOWN OF)	No	1	$8,809.79
2003-05-12	Severe Ice Storm	STOCKBRIDGE (TOWN OF)	No	2	$8,144.87
2003-05-12	Severe Ice Storm	SULLIVAN (TOWN OF)	No	1	$13,962.89
2003-08-29	Severe Storm(s)	CAZENOVIA (TOWN OF)	No	1	$31,515.99
2003-08-29	Severe Storm(s)	DERUYTER (TOWN OF)	No	2	$10,074.36
2003-08-29	Severe Storm(s)	FENNER (TOWN OF)	No	1	$46,466.75
2003-08-29	Severe Storm(s)	MADISON (COUNTY)	No	4	$99,919.68
2003-02-25	Snow	BROOKFIELD (TOWN OF)	No	1	$15,083.18
2003-02-25	Snow	CANASTOTA	No	1	$4,407.58
2003-02-25	Snow	CAZENOVIA (TOWN OF)	No	1	$6,017.12
2003-02-25	Snow	DERUYTER (TOWN OF)	No	1	$2,252.06
2003-02-25	Snow	EATON (TOWN OF)	No	1	$5,710.79
2003-02-25	Snow	FENNER (TOWN OF)	No	1	$11,246.09
2003-02-25	Snow	GEORGETOWN (TOWN OF)	No	1	$4,298.57
2003-02-25	Snow	HAMILTON (TOWN OF)	No	1	$5,711.87
2003-02-25	Snow	LEBANON (TOWN OF)	No	1	$4,207.54
2003-02-25	Snow	LINCOLN (TOWN OF)	No	1	$4,446.13
2003-02-25	Snow	MADISON (COUNTY)	No	1	$33,988.33
2003-02-25	Snow	MADISON (TOWN OF)	No	1	$6,380.58
2003-02-25	Snow	NELSON (TOWN OF)	No	1	$4,348.86
2003-02-25	Snow	ONEIDA	No	1	$10,483.65
2003-02-25	Snow	SMITHFIELD (TOWN OF)	No	1	$5,151.13
2003-02-25	Snow	STOCKBRIDGE (TOWN OF)	No	1	$2,800.07
2003-02-25	Snow	SULLIVAN (TOWN OF)	No	1	$13,042.24
