Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2001-01-17	Snow	ANTIOCH TWP ROAD DIST	No	1	$7,614.43
2001-01-17	Snow	ANTIOCH, VILLAGE OF	No	1	$23,864.70
2001-01-17	Snow	APTAKISIC-TRIPP SCHOOL DIST 102	Yes	1	$4,313.88
2001-01-17	Snow	AVON TOWNSHIP HIGHWAY DEPT	No	1	$3,904.70
2001-01-17	Snow	BANNOCKBURN SCHOOL DIST 106	Yes	1	$907.60
2001-01-17	Snow	BANNOCKBURN, VILLAGE OF	No	1	$2,425.51
2001-01-17	Snow	BEACH PARK, VILLAGE OF	No	1	$17,569.92
2001-01-17	Snow	BIG HOLLOW SCHOOL DISTRICT 38	Yes	1	$1,824.24
2001-01-17	Snow	COLLEGE OF LAKE COUNTY CMNTY	Yes	1	$8,077.86
2001-01-17	Snow	COMMUNITY CONSOLIDATED SCHOOL DIST.   46	Yes	1	$4,546.47
2001-01-17	Snow	COMMUNITY HIGH SCHOOL DIST 128	Yes	1	$7,669.32
2001-01-17	Snow	COMMUNITY UNIT SCHOOL DISTRICT 220	Yes	1	$8,975.65
2001-01-17	Snow	CUBA TOWNSHIP ROAD DISTRICT	No	1	$18,569.38
2001-01-17	Snow	DEERFIELD PUBLIC SCHOOL DIST 109	Yes	1	$1,606.14
2001-01-17	Snow	DEERFIELD, VILLAGE OF	No	1	$30,693.95
2001-01-17	Snow	DEER PARK, VILLAGE OF	No	1	$10,914.24
2001-01-17	Snow	DIAMOND LAKE SCHOOL DIST 76	Yes	1	$2,508.48
2001-01-17	Snow	ELA TOWNSHIP HIGHWAY DEPT.	No	1	$6,747.03
2001-01-17	Snow	FOX LAKE  SCHOOL DISTRICT  114	Yes	1	$795.60
2001-01-17	Snow	FOX LAKE, VILLAGE OF	No	1	$10,385.64
2001-01-17	Snow	FOX RIVER VALLEY GARDENS, VILLAGE OF	No	1	$1,478.90
2001-01-17	Snow	FREMONT SCHOOL DISTRICT 79	Yes	1	$942.83
2001-01-17	Snow	FREMONT TWP ROAD DISTRICT	No	1	$7,093.72
2001-01-17	Snow	GRANT COMMUNITY HIGH SCHOOL DIST. 124	Yes	1	$1,602.14
2001-01-17	Snow	GRANT TOWNSHIP HIGHWAY DEPT.	No	1	$10,783.02
2001-01-17	Snow	GRAYSLAKE COMMUNITY HIGH SCHOOL DIST 127	Yes	1	$853.12
2001-01-17	Snow	GRAYS LAKE, VILLAGE OF	No	1	$27,701.60
2001-01-17	Snow	GURNEE SHCOOL DIST 56	No	1	$6,566.31
2001-01-17	Snow	GURNEE, VILLAGE OF	No	1	$33,079.17
2001-01-17	Snow	HAINESVILLE, VILLAGE OF	No	1	$2,525.03
2001-01-17	Snow	HAWTHORN COMM. CONS. SCHOOL DISTRICT 73	Yes	1	$1,299.42
2001-01-17	Snow	HAWTHORN WOODS, VILLAGE OF	No	1	$11,284.79
2001-01-17	Snow	HIGHLAND PARK, CITY OF	No	1	$54,955.74
2001-01-17	Snow	HIGHLAND PARK- PARK DISTRICT	No	1	$2,311.52
2001-01-17	Snow	HIGHWOOD, CITY OF	No	1	$13,195.94
2001-01-17	Snow	KILDEER COUNTRYSIDE C.C. SCHOOL DIST 96	Yes	1	$9,876.65
2001-01-17	Snow	KILDEER, VILLAGE OF	No	1	$10,140.95
2001-01-17	Snow	LAKE BARRINGTON, VILLAGE OF	No	1	$14,848.51
2001-01-17	Snow	LAKE COUNTY DIV. OF TRANSPORTATION	No	1	$95,353.57
2001-01-17	Snow	LAKE COUNTY FOREST PRESERVE DIST	No	1	$7,364.81
2001-01-17	Snow	LAKE FOREST, CITY OF	No	1	$36,896.32
2001-01-17	Snow	LAKE FOREST COMMUNITY HS DISTRICT 115	No	1	$2,409.30
2001-01-17	Snow	LAKE FOREST ELEMENTARY DISTRICT 67	No	1	$5,362.39
2001-01-17	Snow	LAKE VILLA PUBLIC LIBRARY DISTRICT	No	1	$1,025.34
2001-01-17	Snow	LAKE VILLA TWP. ROAD DISTRICT	No	1	$16,300.37
2001-01-17	Snow	LAKE VILLA, VILLAGE OF	No	1	$8,671.50
2001-01-17	Snow	LAKE ZURICH COMMUNITY UNIT SCHOOL DIST 95	Yes	1	$2,234.20
2001-01-17	Snow	LAKE ZURICH, VILLAGE OF	No	1	$22,972.24
2001-01-17	Snow	LIBERTYVILLE TOWNSHIP HIGHWAY DEPT	No	1	$7,277.21
2001-01-17	Snow	LIBERTYVILLE, VILLAGE OF	No	1	$31,622.23
2001-01-17	Snow	LINCOLNSHIRE-PRAIRIE VIEW SCH DIST 103	Yes	1	$6,792.98
2001-01-17	Snow	LINCOLNSHIRE, VILLAGE OF	No	1	$12,043.52
2001-01-17	Snow	LINDENHURST, VILLAGE OF	No	1	$13,999.37
2001-01-17	Snow	LONG GROVE, VILLAGE OF	No	1	$17,582.88
2001-01-17	Snow	MILLBURN C.C. SCHOOL DIST 24	Yes	1	$1,424.36
2001-01-17	Snow	MUNDELEIN CONSOLIDATED HIGH SCHL DIST 120	Yes	1	$2,160.96
2001-01-17	Snow	MUNDELEIN ELEMENTARY SCHOOL DIST 75	Yes	1	$1,776.10
2001-01-17	Snow	MUNDELEIN, VILLAGE OF	No	1	$30,333.09
2001-01-17	Snow	NEWPORT, TOWNSHIP OF	No	1	$4,529.62
2001-01-17	Snow	NORTH BARRINGTON, VILLAGE OF	No	1	$12,119.64
2001-01-17	Snow	NORTH CHICAGO, CITY OF	No	1	$17,563.12
2001-01-17	Snow	NORTH CHICAGO COMMUNITY UNIT SCHOOL DIST 187	Yes	1	$5,533.49
2001-01-17	Snow	NORTH SHORE SCHOOL DISTRICT 112	Yes	1	$7,892.97
2001-01-17	Snow	RIVERWOODS, VILLAGE OF	No	1	$1,693.23
2001-01-17	Snow	ROUND LAKE AREA CO UNIT SCHOOL DIST 116	Yes	1	$2,204.30
2001-01-17	Snow	ROUND LAKE BEACH, VILLAGE OF	No	1	$25,436.76
2001-01-17	Snow	ROUND LAKE HEIGHTS, VILLAGE OF	No	1	$3,237.37
2001-01-17	Snow	ROUND LAKE PARK, VILLAGE OF	No	1	$5,363.80
2001-01-17	Snow	ROUND LAKE, VILLAGE OF	No	1	$4,239.62
2001-01-17	Snow	THIRD LAKE, VILLAGE OF	No	1	$905.97
2001-01-17	Snow	TOWNSHIP HIGH SCHOOL DISTRICT 113	Yes	1	$5,318.39
2001-01-17	Snow	VERNON HILLS, VILLAGE OF	No	1	$18,432.39
2001-01-17	Snow	VERNON TOWNSHIP ROAD DISTRICT	No	1	$4,237.14
2001-01-17	Snow	WADSWORTH, VILLAGE OF	No	1	$8,944.13
2001-01-17	Snow	WARREN, TOWNSHIP OF	No	1	$2,240.83
2001-01-17	Snow	WARREN TOWNSHIP ROAD DIST.	No	1	$29,403.58
2001-01-17	Snow	WARREN TWP HIGH SCHOOL DIST. 121	Yes	1	$5,285.43
2001-01-17	Snow	WAUCONDA COMMUNITY SCHOOL DIST 118	Yes	1	$3,918.88
2001-01-17	Snow	WAUCONDA, VILLAGE OF	No	1	$10,612.98
2001-01-17	Snow	WAUKEGAN, CITY OF	No	1	$110,662.89
2001-01-17	Snow	WAUKEGAN PARK DISTRICT	No	1	$1,828.89
2001-01-17	Snow	WAUKEGAN PUBLIC SCHOOLS DIST 60	Yes	1	$3,981.83
2001-01-17	Snow	WINTHROP HARBOR SCHOOL DIST 1	Yes	1	$2,450.85
2001-01-17	Snow	WINTHROP HARBOR, VILLAGE OF	No	1	$9,575.01
2001-01-17	Snow	WOODLAND COMMUNITY CONSOLIDATED SCHOOL DISTRICT 50	Yes	1	$5,929.42
2001-01-17	Snow	ZION-BENTON TWP SCHOOL DIST 126	Yes	1	$3,745.10
2001-01-17	Snow	ZION, CITY OF	No	1	$17,021.95
