Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2001-03-01	Earthquake	BLAINE SCHOOL DISTRICT  503, CLOSED	Yes	2	$16,099.89
2001-03-01	Earthquake	EVERSON, CITY OF, CLOSED	No	1	$1,652.51
2001-03-01	Earthquake	FERNDALE SCHOOL DISTRICT, CLOSED	Yes	2	$19,895.00
2001-03-01	Earthquake	LUMMI NATION, CLOSED	No	9	$108,984.38
2001-03-01	Earthquake	LYNDEN FIRE DEPARTMENT, CLOSED	No	2	$19,817.43
2001-03-01	Earthquake	MERIDIAN SCHOOL DISTRICT, CLOSED	Yes	1	$3,090.69
2001-03-01	Earthquake	MOUNT BAKER SCHOOL DISTRICT  507, CLOSED	Yes	1	$3,693.48
2001-03-01	Earthquake	NOOKSACK, CITY OF, CLOSED	No	1	$1,460.35
2001-03-01	Earthquake	WHATCOM,  COUNTY OF, CLOSED	No	1	$0.01
