Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
1999-01-08	Snow	AKRON , TOWNSHIP OF	No	1	$0.00
1999-01-08	Snow	BARTONVILLE GRADE SCHOOL DIST 66	Yes	1	$0.00
1999-01-08	Snow	BARTONVILLE, VILLAGE OF	No	1	$10,019.81
1999-01-08	Snow	BRIMFIELD SCHOOL DIST 309	Yes	1	$0.00
1999-01-08	Snow	BRIMFIELD, TOWNSHIP OF	No	1	$2,501.43
1999-01-08	Snow	BRIMFIELD, VILLAGE OF	No	1	$0.00
1999-01-08	Snow	CHILLICOTHE, CITY OF	No	1	$6,375.95
1999-01-08	Snow	DUNLAP SCHOOL DIST 323	Yes	2	$3,567.39
1999-01-08	Snow	ELMWOOD, CITY OF	No	1	$2,396.39
1999-01-08	Snow	ELMWOOD CU SCHOOL DISTRICT 322	Yes	1	$0.00
1999-01-08	Snow	ELMWOOD , TOWNSHIP OF	No	1	$2,595.50
1999-01-08	Snow	FARMINGTON CENTRAL COMMUNITY UNIT SCHOOL DISTRICT  265	Yes	1	$2,832.14
1999-01-08	Snow	GLASFORD, VILLAGE OF	No	1	$6,276.41
1999-01-08	Snow	HALLOCK, TOWNSHIP OF	No	1	$2,662.52
1999-01-08	Snow	HANNA CITY, VILLAGE OF	No	1	$2,607.25
1999-01-08	Snow	ILLINI BLUFFS COMMUNITY UNIT SCHOOL DIST 327	Yes	1	$1,855.26
1999-01-08	Snow	ILLINOIS VALLEY C.U. SCHOOL DISTRICT 321	Yes	1	$3,659.24
1999-01-08	Snow	JUBILEE TOWNSHIP ROAD DIST	No	1	$2,730.07
1999-01-08	Snow	KICKAPOO TOWNSHIP ROAD DISTRICT	No	1	$0.00
1999-01-08	Snow	LIMESTONE HIGH SCHOOL DISTRICT 310	Yes	1	$0.00
1999-01-08	Snow	LIMESTONE, TOWNSHIP OF	No	1	$7,895.94
1999-01-08	Snow	LOGAN, TOWNSHIP OF	No	1	$3,438.97
1999-01-08	Snow	MEDINA TOWNSHIP HIGHWAY DEPARTMENT	No	1	$5,488.08
1999-01-08	Snow	NORWOOD, VILLAGE OF	No	1	$1,211.28
1999-01-08	Snow	OAK GROVE EAST SCHOOL DISTRICT 68	Yes	1	$0.00
1999-01-08	Snow	PEORIA, CITY OF	No	1	$206,818.92
1999-01-08	Snow	PEORIA CIVIC CENTER	No	1	$2,701.17
1999-01-08	Snow	PEORIA COUNTY	No	1	$42,370.69
1999-01-08	Snow	PEORIA COUNTY SHERIFF'S DEPARTMENT	No	1	$2,103.22
1999-01-08	Snow	PEORIA HEIGHTS, VILLAGE OF	No	1	$11,536.04
1999-01-08	Snow	PEORIA NOTRE DAME HIGH SCHOOL	Yes	1	$3,412.44
1999-01-08	Snow	PEORIA PUBLIC SCHOOLS	Yes	1	$15,433.43
1999-01-08	Snow	PEORIA VALLEY SCHOOL DISTRICT 62	Yes	1	$0.00
1999-01-08	Snow	PLEASANT DRIVEWAY & PARK DIST OF PEORIA	No	1	$8,257.04
1999-01-08	Snow	PLEASANT HILL SCHOOL DISTRICT 69	Yes	1	$0.00
1999-01-08	Snow	PLEASANT VALLEY SCHOOL DISTRICT NO 62	Yes	1	$0.00
1999-01-08	Snow	PRINCEVILLE COMM UNIT SCHOOL DIST 326	Yes	1	$0.00
1999-01-08	Snow	PRINCEVILLE, VILLAGE OF	No	1	$1,985.42
1999-01-08	Snow	TIMBER ROAD DISTRICT	No	1	$2,813.95
1999-01-08	Snow	TRIVOLI, TOWNSHIP OF	No	1	$1,132.73
1999-01-08	Snow	WEST PEORIA, CITY OF	No	1	$6,173.23
