Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2006-12-29	Snow	ALBA ROAD DISTRICT	No	1	$2,509.28
2006-12-29	Snow	ANDOVER TOWNSHIP ROAD DISTRICT	No	1	$3,029.36
2006-12-29	Snow	ANNAWAN TOWNSHIP ROAD DISTRICT	No	1	$2,659.97
2006-12-29	Snow	ANNAWAN, VILLAGE OF	No	1	$2,407.80
2006-12-29	Snow	ATKINSON TOWNSHIP ROAD DISTRICT	No	1	$1,255.04
2006-12-29	Snow	ATKINSON, VILLAGE OF	No	1	$1,754.54
2006-12-29	Snow	BLACK HAWK COMM. COLLEGE DIST. 503	Yes	1	$2,164.19
2006-12-29	Snow	BURNS TOWNSHIP ROAD DISTRICT	No	1	$3,334.93
2006-12-29	Snow	CAMBRIDGE TOWNSHIP ROAD DISTRICT	No	1	$1,818.98
2006-12-29	Snow	CAMBRIDGE, VILLAGE OF	No	1	$5,105.89
2006-12-29	Snow	CLOVER TOWNSHIP ROAD DISTRICT	No	1	$3,150.46
2006-12-29	Snow	COLONA TOWNSHIP ROAD DISTRICT	No	1	$5,749.56
2006-12-29	Snow	CORNWALL ROAD DISTRICT	No	1	$2,247.64
2006-12-29	Snow	EDFORD  ROAD DISTRICT	No	1	$2,288.14
2006-12-29	Snow	GALVA, CITY OF	No	1	$6,039.65
2006-12-29	Snow	GALVA MIDDLE SCHOOL	Yes	1	$1,841.77
2006-12-29	Snow	GALVA ROAD DISTRICT	No	1	$2,815.81
2006-12-29	Snow	GENESEO, CITY OF	No	1	$10,292.06
2006-12-29	Snow	GENESEO SCHOOL DISTRICT 228	Yes	1	$3,518.96
2006-12-29	Snow	GENESEO TOWNSHIP ROAD DISTRICT	No	1	$4,088.21
2006-12-29	Snow	HANNA TOWNSHIP ROAD DISTRICT	No	1	$4,594.11
2006-12-29	Snow	HENRY (COUNTY)	No	1	$23,576.21
2006-12-29	Snow	KEWANEE, CITY OF	No	1	$18,166.68
2006-12-29	Snow	KEWANEE COMMUNITY UNIT SCHOOL DISTRICT 229	Yes	1	$7,257.91
2006-12-29	Snow	KEWANEE ROAD DISTRICT	No	1	$11,080.83
2006-12-29	Snow	LORAINE ROAD DISTRICT	No	1	$1,425.84
2006-12-29	Snow	LYNN TOWNSHIP ROAD DISTRICT	No	1	$4,769.77
2006-12-29	Snow	MUNSON TOWNSHIP ROAD DISTRICT	No	1	$2,441.86
2006-12-29	Snow	ORION COMMUNITY UNIT SCHOOL DISTRICT 223	Yes	1	$1,347.14
2006-12-29	Snow	ORION, VILLAGE OF	No	1	$2,544.30
2006-12-29	Snow	OSCO TOWNSHIP ROAD DISTRICT	No	1	$3,694.14
2006-12-29	Snow	OXFORD TOWNSHIP ROAD DISTRICT	No	1	$2,001.31
2006-12-29	Snow	PHENIX  ROAD DISTRICT	No	1	$2,885.44
2006-12-29	Snow	WELLER TOWNSHIP ROAD DISTRICT	No	1	$2,195.63
2006-12-29	Snow	WESTERN TWP. ROAD DISTRICT	No	1	$5,279.12
2006-12-29	Snow	WOODHULL, VILLAGE OF	No	1	$2,003.55
2006-12-29	Snow	YORKTOWN TOWNSHIP ROAD DISTRICT	No	1	$3,257.33
