Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-10-26	Severe Storm(s)	ALSTEAD (TOWN OF)	No	25	$582,521.68
2005-10-26	Severe Storm(s)	CHESHIRE (COUNTY)	No	1	$8,527.80
2005-10-26	Severe Storm(s)	CHESTERFIELD (TOWN OF)	No	19	$176,981.47
2005-10-26	Severe Storm(s)	DUBLIN (TOWN OF)	No	4	$6,521.04
2005-10-26	Severe Storm(s)	GILSUM, TOWN OF	No	14	$109,761.21
2005-10-26	Severe Storm(s)	HINSDALE (TOWN OF)	No	12	$129,132.42
2005-10-26	Severe Storm(s)	KEENE - CITY OF	No	38	$501,511.85
2005-10-26	Severe Storm(s)	MARLBOROUGH (TOWN OF)	No	7	$20,964.35
2005-10-26	Severe Storm(s)	MARLOW (TOWN OF)	No	7	$49,344.23
2005-10-26	Severe Storm(s)	MONADNOCK REGIONAL SCHOOL DISTRICT SAU 38	Yes	1	$787.80
2005-10-26	Severe Storm(s)	NH SCHOOL ADMINISTRATIVE UNIT 29	Yes	1	$5,255.04
2005-10-26	Severe Storm(s)	ROXBURY (TOWN OF)	No	4	$9,057.86
2005-10-26	Severe Storm(s)	STODDARD (TOWN OF)	No	11	$42,725.60
2005-10-26	Severe Storm(s)	SULLIVAN (TOWN OF)	No	13	$96,964.70
2005-10-26	Severe Storm(s)	SURRY, TOWN OF	No	2	$21,724.07
2005-10-26	Severe Storm(s)	SWANZEY (TOWN OF)	No	11	$80,268.56
2005-10-26	Severe Storm(s)	SWNH DISTRICT FIRE MUTUAL AID	No	1	$4,869.52
2005-10-26	Severe Storm(s)	WALPOLE FIRE DISTRICT	No	1	$8,956.86
2005-10-26	Severe Storm(s)	WALPOLE (TOWN OF)	No	27	$478,381.58
2005-10-26	Severe Storm(s)	WESTMORELAND (TOWN OF)	No	8	$43,153.09
2005-10-26	Severe Storm(s)	WINCHESTER (TOWN OF)	No	23	$392,651.46
2005-03-30	Snow	ALSTEAD (TOWN OF)	No	1	$8,598.47
2005-03-30	Snow	CHESTERFIELD (TOWN OF)	No	1	$15,248.01
2005-03-30	Snow	DUBLIN (TOWN OF)	No	1	$4,908.49
2005-03-30	Snow	HARRISVILLE (TOWN OF)	No	1	$2,910.58
2005-03-30	Snow	HINSDALE (TOWN OF)	No	1	$7,560.86
2005-03-30	Snow	JAFFREY (TOWN OF)	No	1	$14,640.03
2005-03-30	Snow	KEENE - CITY OF	No	1	$29,533.30
2005-03-30	Snow	KEENE STATE COLLEGE	Yes	1	$4,297.66
2005-03-30	Snow	MARLBOROUGH (TOWN OF)	No	1	$3,990.45
2005-03-30	Snow	MARLOW (TOWN OF)	No	1	$2,137.72
2005-03-30	Snow	ROXBURY (TOWN OF)	No	1	$2,206.92
2005-03-30	Snow	SWANZEY (TOWN OF)	No	1	$8,328.71
2005-03-30	Snow	TROY (TOWN OF)	No	1	$3,108.56
2005-03-30	Snow	WALPOLE (TOWN OF)	No	1	$8,620.10
2005-03-30	Snow	WESTMORELAND (TOWN OF)	No	1	$7,216.66
2005-03-30	Snow	WINCHESTER (TOWN OF)	No	1	$11,524.43
2005-03-30	Snow	ALSTEAD (TOWN OF)	No	1	$8,174.97
2005-03-30	Snow	CHESTERFIELD (TOWN OF)	No	1	$13,729.09
2005-03-30	Snow	DUBLIN (TOWN OF)	No	1	$4,869.80
2005-03-30	Snow	HARRISVILLE (TOWN OF)	No	1	$3,360.28
2005-03-30	Snow	HINSDALE (TOWN OF)	No	1	$4,684.23
2005-03-30	Snow	JAFFREY (TOWN OF)	No	1	$16,432.70
2005-03-30	Snow	KEENE - CITY OF	No	1	$13,416.70
2005-03-30	Snow	KEENE STATE COLLEGE	Yes	1	$3,157.55
2005-03-30	Snow	MARLBOROUGH (TOWN OF)	No	1	$3,563.61
2005-03-30	Snow	MARLOW (TOWN OF)	No	1	$2,124.58
2005-03-30	Snow	ROXBURY (TOWN OF)	No	1	$1,901.13
2005-03-30	Snow	SWANZEY (TOWN OF)	No	1	$8,980.30
2005-03-30	Snow	TROY (TOWN OF)	No	1	$2,193.28
2005-03-30	Snow	WALPOLE (TOWN OF)	No	1	$11,138.72
2005-03-30	Snow	WESTMORELAND (TOWN OF)	No	1	$5,402.62
2005-03-30	Snow	WINCHESTER (TOWN OF)	No	1	$6,891.62
2005-04-28	Snow	ALSTEAD (TOWN OF)	No	1	$9,269.42
2005-04-28	Snow	CHESTERFIELD (TOWN OF)	No	1	$12,770.13
2005-04-28	Snow	DUBLIN (TOWN OF)	No	1	$5,144.97
2005-04-28	Snow	HARRISVILLE (TOWN OF)	No	1	$5,421.79
2005-04-28	Snow	JAFFREY (TOWN OF)	No	1	$12,251.75
2005-04-28	Snow	KEENE - CITY OF	No	1	$20,713.56
2005-04-28	Snow	MARLBOROUGH (TOWN OF)	No	1	$4,787.98
2005-04-28	Snow	MARLOW (TOWN OF)	No	1	$2,839.39
2005-04-28	Snow	ROXBURY (TOWN OF)	No	1	$2,698.92
2005-04-28	Snow	SWANZEY (TOWN OF)	No	1	$7,642.57
2005-04-28	Snow	TROY (TOWN OF)	No	1	$3,376.10
2005-04-28	Snow	WALPOLE (TOWN OF)	No	1	$13,395.30
2005-04-28	Snow	WESTMORELAND (TOWN OF)	No	1	$6,448.08
2005-04-28	Snow	WINCHESTER (TOWN OF)	No	1	$12,142.55
