Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2001-03-01	Earthquake	BELLEVUE COMMUNITY COLLEGE, CLOSED	Yes	1	$1,226.73
2001-03-01	Earthquake	CENTRALIA COLLEGE, CLOSED	Yes	1	$9,006.01
2001-03-01	Earthquake	DEPARTMENT OF CORRECTIONS	No	27	$1,634,428.60
2001-03-01	Earthquake	DEPARTMENT OF LABOR & INDUSTRIES, CLOSED	No	5	$274,672.28
2001-03-01	Earthquake	DEPARTMENT OF SOCIAL & HEALTH SERVICES	No	40	$2,354,095.14
2001-03-01	Earthquake	DEPARTMENT OF VETERANS  AFFAIRS, CLOSED	No	2	$15,773.85
2001-03-01	Earthquake	DEPT. OF COMMUNITY, TRADE, & ECONOMIC DEV., CLOSED	No	1	$13,730.17
2001-03-01	Earthquake	DEPT. OF GENERAL ADMINISTRATION	No	39	$15,618,048.49
2001-03-01	Earthquake	EMPLOYMENT SECURITY DEPARTMENT, CLOSED	No	5	$34,227.32
2001-03-01	Earthquake	EVERGREEN STATE COLLEGE	Yes	15	$208,108.36
2001-03-01	Earthquake	GREEN RIVER COMMUNITY COLLEGE, CLOSED	Yes	5	$315,831.61
2001-03-01	Earthquake	HIGHLINE COMMUNITY COLLEGE, CLOSED	Yes	25	$8,385.41
2001-03-01	Earthquake	JOINT LEGISLATIVE SYSTEMS COMMITTEE, CLOSED	No	2	$6,597.30
2001-03-01	Earthquake	LAKE WASHINGTON TECHNICAL COLLEGE, CLOSED	Yes	1	$3,641.30
2001-03-01	Earthquake	LOWER COLUMBIA COLLEGE, WITHDRAWN	Yes	1	$0.00
2001-03-01	Earthquake	NORTH SEATTLE COMMUNITY COLLEGE, CLOSED	Yes	2	$6,243.94
2001-03-01	Earthquake	OFFICE OF THE LIEUTENANT GOVERNOR, CLOSED	No	1	$4,705.49
2001-03-01	Earthquake	OFFICE OF THE SECRETARY OF STATE, CLOSED	No	1	$834.63
2001-03-01	Earthquake	PENINSULA COLLEGE	Yes	4	$83,270.95
2001-03-01	Earthquake	PIERCE COLLEGE, CLOSED	Yes	2	$56,655.72
2001-03-01	Earthquake	RENTON TECHNICAL COLLEGE, CLOSED	Yes	1	$35,134.15
2001-03-01	Earthquake	SEATTLE CENTRAL COMMUNITY COLLEGE, CLOSED	Yes	3	$39,047.03
2001-03-01	Earthquake	SOUTH PUGET SOUND COMMUNITY COLLEGE, CLOSED	Yes	1	$57,898.15
2001-03-01	Earthquake	SOUTH SEATTLE COMMUNITY COLLEGE, CLOSED	Yes	1	$4,781.12
2001-03-01	Earthquake	STATE AUDITOR'S OFFICE, CLOSED	No	1	$0.00
2001-03-01	Earthquake	TACOMA COMMUNITY COLLEGE, CLOSED	Yes	6	$144,576.40
2001-03-01	Earthquake	UNIVERSITY OF WASHINGTON	Yes	174	$2,641,920.95
2001-03-01	Earthquake	WASHINGTON DEPT. OF FISH & WILDLIFE, CLOSED	No	2	$5,013.33
2001-03-01	Earthquake	WASHINGTON DEPT. OF NATURAL RESOURCES, CLOSED	No	9	$175,152.17
2001-03-01	Earthquake	WASHINGTON DEPT. OF TRANSPORTATION, CLOSED	No	19	$266,807.47
2001-03-01	Earthquake	WASHINGTON STATE CONVENTION & TRADE, CLOSED	No	6	$191,665.45
2001-03-01	Earthquake	WASHINGTON STATE DEPT. OF AGRICULTURE, CLOSED	No	1	$6,517.43
2001-03-01	Earthquake	WASHINGTON STATE DEPT. OF ECOLOGY, CLOSED	No	1	$21,077.50
2001-03-01	Earthquake	WASHINGTON STATE HOUSE OF REPRESENTATIVES, CLOSED	No	3	$42,946.27
2001-03-01	Earthquake	WASHINGTON STATE LAW LIBRARY, CLOSED	No	2	$65,380.36
2001-03-01	Earthquake	WASHINGTON STATE LIBRARY, CLOSED	No	1	$25,070.20
2001-03-01	Earthquake	WASHINGTON STATE MILITARY DEPARTMENT	No	15	$4,893,660.52
2001-03-01	Earthquake	WASHINGTON STATE OFFICE OF FINANCIAL MGMT., CLOSED	No	1	$4,472.41
2001-03-01	Earthquake	WASHINGTON STATE PARKS & RECREATION, CLOSED	No	27	$619,560.14
2001-03-01	Earthquake	WASHINGTON STATE PATROL, CLOSED	No	3	$49,311.41
2001-03-01	Earthquake	WASHINGTON STATE SENATE, CLOSED	No	3	$8,046.29
