Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2010-04-16	Snow	ADAMS (TOWNSHIP OF)	No	1	$18,383.78
2010-04-16	Snow	BRADY (TOWNSHIP OF)	No	1	$7,689.05
2010-04-16	Snow	BUFFALO (TOWNSHIP OF)	No	1	$15,045.74
2010-04-16	Snow	BUTLER	No	3	$45,651.33
2010-04-16	Snow	BUTLER AREA SCHOOL DISTRICT	Yes	1	$11,434.69
2010-04-16	Snow	BUTLER (COUNTY)	No	1	$8,355.28
2010-04-16	Snow	BUTLER COUNTY COMMUNITY COLLEGE	Yes	1	$8,221.37
2010-04-16	Snow	BUTLER (TOWNSHIP OF)	No	1	$30,801.84
2010-04-16	Snow	CENTER (TOWNSHIP OF)	No	1	$20,569.43
2010-04-16	Snow	CHERRY (TOWNSHIP OF)	No	1	$3,168.65
2010-04-16	Snow	CLAY (TOWNSHIP OF)	No	1	$11,556.43
2010-04-16	Snow	CLEARFIELD (TOWNSHIP OF)	No	1	$13,024.78
2010-04-16	Snow	CLINTON (TOWNSHIP OF)	No	1	$4,987.43
2010-04-16	Snow	CONCORD (TOWNSHIP OF)	No	1	$4,826.07
2010-04-16	Snow	CONNOQUENESSING	No	1	$2,262.65
2010-04-16	Snow	CONNOQUENESSING (TOWNSHIP OF)	No	1	$10,701.03
2010-04-16	Snow	CRANBERRY (TOWNSHIP OF)	No	1	$84,955.79
2010-04-16	Snow	EAST BUTLER	No	1	$2,058.79
2010-04-16	Snow	EVANS CITY	No	2	$11,026.34
2010-04-16	Snow	FAIRVIEW	No	2	$957.96
2010-04-16	Snow	FAIRVIEW (TOWNSHIP OF)	No	1	$5,240.16
2010-04-16	Snow	FORWARD (TOWNSHIP OF)	No	1	$7,407.62
2010-04-16	Snow	FRANKLIN (TOWNSHIP OF)	No	1	$11,947.78
2010-04-16	Snow	HARMONY	No	1	$3,412.55
2010-04-16	Snow	JACKSON (TOWNSHIP OF)	No	1	$23,803.40
2010-04-16	Snow	JEFFERSON (TOWNSHIP OF)	No	1	$8,067.98
2010-04-16	Snow	KARNS CITY AREA SCHOOL DIST	Yes	1	$4,898.38
2010-04-16	Snow	LANCASTER (TOWNSHIP OF)	No	1	$6,498.11
2010-04-16	Snow	MARION (TOWNSHIP OF)	No	1	$5,068.87
2010-04-16	Snow	MARS AREA SCHOOL DISTRICT	Yes	1	$4,231.23
2010-04-16	Snow	MIDDLESEX (TOWNSHIP OF)	No	1	$21,418.79
2010-04-16	Snow	MUDDY CREEK (TOWNSHIP OF)	No	1	$6,801.99
2010-04-16	Snow	OAKLAND (TOWNSHIP OF)	No	1	$7,477.76
2010-04-16	Snow	PARKER (TOWNSHIP OF)	No	1	$3,500.54
2010-04-16	Snow	PENN (TOWNSHIP OF)	No	1	$18,172.48
2010-04-16	Snow	PORTERSVILLE	No	1	$2,205.00
2010-04-16	Snow	SAXONBURG	No	2	$4,683.44
2010-04-16	Snow	SENECA VALLEY SCHOOL DISTRICT	Yes	1	$22,495.44
2010-04-16	Snow	SEVEN FIELDS	No	1	$8,449.65
2010-04-16	Snow	SLIPPERY ROCK	No	1	$2,499.57
2010-04-16	Snow	SLIPPERY ROCK AREA SCHOOL DIST	Yes	1	$1,556.37
2010-04-16	Snow	SLIPPERY ROCK (TOWNSHIP OF)	No	1	$5,430.26
2010-04-16	Snow	SOUTH BUTLER COUNTY SCHOOL DISTRICT	Yes	1	$3,574.48
2010-04-16	Snow	SUMMIT (TOWNSHIP OF)	No	1	$13,322.77
2010-04-16	Snow	VALENCIA	No	1	$916.50
2010-04-16	Snow	WASHINGTON (TOWNSHIP OF)	No	1	$3,041.69
2010-04-16	Snow	WEST LIBERTY	No	1	$2,160.42
2010-04-16	Snow	WINFIELD (TOWNSHIP OF)	No	1	$6,605.00
2010-04-16	Snow	WORTH (TOWNSHIP OF)	No	1	$7,130.56
2010-04-16	Snow	ZELIENOPLE	No	1	$10,878.06
