Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2008-02-05	Severe Storm(s)	BARRY COUNTY	No	5	$43,301.97
2008-02-05	Severe Storm(s)	CAPPS CREEK SPECIAL ROAD DISTRICT	No	1	$4,365.63
2008-02-05	Severe Storm(s)	CORSICANA SPECIAL ROAD DISTRICT	No	2	$32,243.35
2008-02-05	Severe Storm(s)	CRANE CREEK SPECIAL ROAD DISTRICT	No	2	$6,072.83
2008-02-05	Severe Storm(s)	EXETER SPECIAL ROAD DISTRICT	No	2	$17,006.79
2008-02-05	Severe Storm(s)	JENKINS SPECIAL ROAD DISTRICT	No	3	$10,348.38
2008-02-05	Severe Storm(s)	KINGS PRAIRIE SPECIAL ROAD DISTRICT	No	2	$16,196.24
2008-02-05	Severe Storm(s)	MONETT, CITY OF	No	7	$22,188.86
2008-02-05	Severe Storm(s)	MOUNTAIN ROAD DISTRICT	No	1	$2,524.95
2008-02-05	Severe Storm(s)	OZARK ROAD DISTRICT	No	1	$16,605.83
2008-02-05	Severe Storm(s)	PIONEER ROAD DISTRICT	No	4	$12,413.80
2008-02-05	Severe Storm(s)	PLEASANT RIDGE ROAD DISTRICT	No	1	$9,935.08
2008-02-05	Severe Storm(s)	PURDY SPECIAL ROAD DISTRICT	No	1	$10,023.90
2008-02-05	Severe Storm(s)	WHEATON SPECIAL ROAD DISTRICT	No	4	$28,810.00
2008-03-19	Severe Storm(s)	ASH SPECIAL ROAD DISTRICT	No	1	$15,256.05
2008-03-19	Severe Storm(s)	BARRY COUNTY	No	6	$63,048.76
2008-03-19	Severe Storm(s)	BUTTERFIELD, CITY OF	No	1	$22,094.48
2008-03-19	Severe Storm(s)	CAPPS CREEK SPECIAL ROAD DISTRICT	No	2	$21,934.63
2008-03-19	Severe Storm(s)	CORSICANA SPECIAL ROAD DISTRICT	No	8	$259,110.51
2008-03-19	Severe Storm(s)	CRANE CREEK SPECIAL ROAD DISTRICT	No	1	$14,540.21
2008-03-19	Severe Storm(s)	EMERALD BEACH, VILLAGE OF	No	1	$4,497.71
2008-03-19	Severe Storm(s)	EXETER SPECIAL ROAD DISTRICT	No	7	$88,694.91
2008-03-19	Severe Storm(s)	KINGS PRAIRIE SPECIAL ROAD DISTRICT	No	9	$159,242.04
2008-03-19	Severe Storm(s)	MINERAL SPRINGS ROAD DISTRICT	No	2	$65,716.21
2008-03-19	Severe Storm(s)	MOUNTAIN ROAD DISTRICT	No	5	$185,563.73
2008-03-19	Severe Storm(s)	OZARK ROAD DISTRICT	No	7	$88,437.91
2008-03-19	Severe Storm(s)	PIONEER SPECIAL ROAD DISTRICT	No	1	$2,550.00
2008-03-19	Severe Storm(s)	PLEASANT RIDGE ROAD DISTRICT	No	20	$347,623.26
2008-03-19	Severe Storm(s)	PURDY SPECIAL ROAD DISTRICT	No	6	$165,266.01
2008-03-19	Severe Storm(s)	SUGAR CREEK ROAD DISTRICT	No	1	$25,599.56
2008-03-19	Severe Storm(s)	WASHBURN SPECIAL ROAD DISTRICT	No	6	$178,972.62
2008-03-19	Severe Storm(s)	WHEATON SPECIAL ROAD DISTRICT  29	No	4	$77,933.50
2008-03-19	Severe Storm(s)	WHITE RIVER ROAD DISTRICT  7	No	2	$23,899.07
2008-11-13	Severe Storm(s)	ASH SPECIAL ROAD DISTRICT	No	2	$11,492.93
2008-11-13	Severe Storm(s)	CENTRAL CROSSING FIRE PROTECTION DISTRICT	No	2	$982.50
2008-11-13	Severe Storm(s)	GREASY CREEK ROAD DISTRICT	No	2	$15,007.04
2008-11-13	Severe Storm(s)	MINERAL SPRINGS ROAD DISTRICT	No	3	$26,621.53
2008-11-13	Severe Storm(s)	SHELL KNOB ROAD DISTRICT	No	5	$28,062.48
2008-11-13	Severe Storm(s)	SUGAR CREEK ROAD DISTRICT	No	2	$7,195.21
