Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2003-03-11	Snow	ATKINSON (TOWN OF)	No	1	$11,278.30
2003-03-11	Snow	AUBURN (TOWN OF)	No	1	$13,619.83
2003-03-11	Snow	BRENTWOOD (TOWN OF)	No	1	$5,324.07
2003-03-11	Snow	CANDIA (TOWN OF)	No	1	$11,450.03
2003-03-11	Snow	CHESTER (TOWN OF)	No	1	$20,355.11
2003-03-11	Snow	DANVILLE (TOWN OF)	No	1	$7,228.11
2003-03-11	Snow	DERRY (TOWN OF)	No	1	$48,177.14
2003-03-11	Snow	EAST KINGSTON (TOWN OF)	No	1	$9,951.10
2003-03-11	Snow	EPPING (TOWN OF)	No	1	$12,613.52
2003-03-11	Snow	EXETER (TOWN OF)	No	1	$30,666.81
2003-03-11	Snow	FREMONT (TOWN OF)	No	1	$7,253.06
2003-03-11	Snow	GREENLAND (TOWN OF)	No	1	$8,645.09
2003-03-11	Snow	HAMPSTEAD (TOWN OF)	No	1	$21,817.06
2003-03-11	Snow	HAMPTON FALLS (TOWN OF)	No	1	$6,797.58
2003-03-11	Snow	HAMPTON (TOWN OF)	No	1	$25,632.09
2003-03-11	Snow	KENSINGTON (TOWN OF)	No	1	$3,541.74
2003-03-11	Snow	KINGSTON (TOWN OF)	No	1	$18,223.27
2003-03-11	Snow	LONDONDERRY SCHOOL DISTRICT	Yes	1	$3,847.13
2003-03-11	Snow	LONDONDERRY (TOWN OF)	No	1	$26,729.25
2003-03-11	Snow	NEWFIELDS (TOWN OF)	No	1	$5,325.59
2003-03-11	Snow	NEWINGTON (TOWN OF)	No	1	$3,065.40
2003-03-11	Snow	NEWMARKET (TOWN OF)	No	1	$14,267.32
2003-03-11	Snow	NEWTON (TOWN OF)	No	1	$7,007.48
2003-03-11	Snow	NORTH HAMPTON SCHOOL DISTRICT	Yes	1	$1,800.06
2003-03-11	Snow	NORTHWOOD (TOWN OF)	No	1	$10,110.42
2003-03-11	Snow	NOTTINGHAM (TOWN OF)	No	1	$9,632.20
2003-03-11	Snow	PINKERTON ACADEMY	Yes	1	$1,376.53
2003-03-11	Snow	PLAISTOW (TOWN OF)	No	1	$19,181.14
2003-03-11	Snow	PORTSMOUTH	No	1	$44,698.87
2003-03-11	Snow	RAYMOND (TOWN OF)	No	1	$15,561.55
2003-03-11	Snow	RYE (TOWN OF)	No	1	$12,648.00
2003-03-11	Snow	SALEM (TOWN OF)	No	1	$74,769.81
2003-03-11	Snow	SANDOWN (TOWN OF)	No	1	$11,722.82
2003-03-11	Snow	SEABROOK SCHOOL DISTRICT	Yes	1	$1,511.64
2003-03-11	Snow	SEABROOK (TOWN OF)	No	1	$10,535.89
2003-03-11	Snow	SOUTH HAMPTON (TOWN OF)	No	1	$2,593.07
2003-03-11	Snow	STRATHAM (TOWN OF)	No	1	$10,406.39
2003-03-11	Snow	WINDHAM (TOWN OF)	No	1	$16,274.94
2003-03-11	Snow	WINNACUNNET COOP SCHOOL DISTRICT	Yes	1	$3,779.10
