Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2003-08-29	Severe Storm(s)	CANAAN (TOWN OF)	No	3	$9,881.55
2003-08-29	Severe Storm(s)	CHATHAM (TOWN OF)	No	2	$17,015.62
2003-08-29	Severe Storm(s)	CLAVERACK FIRE DISTRICT 1	No	1	$1,534.94
2003-08-29	Severe Storm(s)	CLAVERACK (TOWN OF)	No	2	$5,606.43
2003-08-29	Severe Storm(s)	COLUMBIA (COUNTY)	No	4	$18,091.28
2003-08-29	Severe Storm(s)	COPAKE (TOWN OF)	No	1	$1,897.58
2003-08-29	Severe Storm(s)	HILLSDALE (TOWN OF)	No	2	$30,373.68
2003-08-29	Severe Storm(s)	HUDSON, CITY OF	No	1	$1,912.62
2003-08-29	Severe Storm(s)	ICHABOD CRANE CENTRAL HIGH	No	3	$7,108.87
2003-08-29	Severe Storm(s)	KINDERHOOK (TOWN OF)	No	2	$95,353.17
2003-08-29	Severe Storm(s)	KINDERHOOK, VILLAGE OF	No	2	$7,714.00
2003-08-29	Severe Storm(s)	STOCKPORT FIRE CO	No	1	$2,134.55
2003-08-29	Severe Storm(s)	STOCKPORT (TOWN OF)	No	4	$13,136.90
2003-02-25	Snow	ANCRAM (TOWN OF)	No	1	$18,144.37
2003-02-25	Snow	AUSTERLITZ (TOWN OF)	No	1	$14,178.48
2003-02-25	Snow	BERKSHIRE FARM CTR & SVC-YOUTH	No	1	$4,620.20
2003-02-25	Snow	BERKSHIRE UNION FREE SCHL DIST	Yes	1	$1,263.54
2003-02-25	Snow	CANAAN (TOWN OF)	No	1	$10,847.55
2003-02-25	Snow	CHATHAM CENTRAL SCHOOL DIST	Yes	1	$7,187.56
2003-02-25	Snow	CHATHAM (TOWN OF)	No	1	$32,459.56
2003-02-25	Snow	CHATHAM, VILLAGE OF	No	1	$6,429.06
2003-02-25	Snow	CLAVERACK (TOWN OF)	No	1	$22,989.75
2003-02-25	Snow	CLERMONT (TOWN OF)	No	1	$8,276.44
2003-02-25	Snow	COLUMBIA (COUNTY)	No	1	$126,736.54
2003-02-25	Snow	COPAKE (TOWN OF)	No	1	$20,695.56
2003-02-25	Snow	GALLATIN (TOWN OF)	No	1	$15,960.03
2003-02-25	Snow	GERMANTOWN (TOWN OF)	No	1	$16,358.41
2003-02-25	Snow	GHENT (TOWN OF)	No	1	$28,180.12
2003-02-25	Snow	GREENPORT (TOWN OF)	No	1	$24,649.39
2003-02-25	Snow	HILLSDALE (TOWN OF)	No	1	$15,987.17
2003-02-25	Snow	HUDSON, CITY OF	No	1	$44,817.03
