Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2001-03-28	Snow	ATKINSON (TOWN OF)	No	1	$21,425.23
2001-03-28	Snow	AUBURN (TOWN OF)	No	1	$19,617.90
2001-03-28	Snow	BRENTWOOD (TOWN OF)	No	1	$10,685.60
2001-03-28	Snow	CANDIA (TOWN OF)	No	1	$11,031.79
2001-03-28	Snow	CHESTER (TOWN OF)	No	1	$22,345.40
2001-03-28	Snow	DANVILLE (TOWN OF)	No	1	$7,384.83
2001-03-28	Snow	DEERFIELD (TOWN OF)	No	1	$16,711.69
2001-03-28	Snow	DERRY (TOWN OF)	No	1	$66,042.71
2001-03-28	Snow	EAST DERRY FIRE DEPT	No	1	$2,043.99
2001-03-28	Snow	EAST KINGSTON (TOWN OF)	No	1	$12,527.61
2001-03-28	Snow	EPPING (TOWN OF)	No	1	$26,100.53
2001-03-28	Snow	EXETER (TOWN OF)	No	1	$39,340.32
2001-03-28	Snow	FREMONT (TOWN OF)	No	1	$12,105.06
2001-03-28	Snow	GREENLAND (TOWN OF)	No	1	$13,782.97
2001-03-28	Snow	HAMPSTEAD (TOWN OF)	No	1	$28,853.81
2001-03-28	Snow	HAMPTON FALLS (TOWN OF)	No	1	$9,297.38
2001-03-28	Snow	HAMPTON (TOWN OF)	No	1	$50,066.70
2001-03-28	Snow	KENSINGTON (TOWN OF)	No	1	$11,405.66
2001-03-28	Snow	KINGSTON (TOWN OF)	No	1	$25,330.31
2001-03-28	Snow	LONDONDERRY SCHOOL DISTRICT	Yes	1	$4,358.97
2001-03-28	Snow	LONDONDERRY (TOWN OF)	No	1	$30,700.02
2001-03-28	Snow	NEWINGTON (TOWN OF)	No	1	$5,282.90
2001-03-28	Snow	NEWMARKET (TOWN OF)	No	1	$12,934.07
2001-03-28	Snow	NEWTON (TOWN OF)	No	1	$7,675.16
2001-03-28	Snow	NORTH HAMPTON (TOWN OF)	No	1	$10,155.42
2001-03-28	Snow	NORTHWOOD (TOWN OF)	No	1	$13,902.31
2001-03-28	Snow	NOTTINGHAM SCHOOL	Yes	1	$0.00
2001-03-28	Snow	NOTTINGHAM (TOWN OF)	No	1	$11,797.16
2001-03-28	Snow	PINKERTON ACADEMY	Yes	1	$3,752.49
2001-03-28	Snow	PLAISTOW (TOWN OF)	No	1	$33,186.07
2001-03-28	Snow	PORTSMOUTH	No	1	$67,904.54
2001-03-28	Snow	RAYMOND SCHOOL DISTRICT	Yes	1	$0.00
2001-03-28	Snow	RAYMOND (TOWN OF)	No	1	$16,853.17
2001-03-28	Snow	ROCKINGHAM (COUNTY)	No	1	$7,756.64
2001-03-28	Snow	RYE (TOWN OF)	No	1	$25,484.36
2001-03-28	Snow	SALEM SCHOOL DISTRICT	Yes	1	$5,662.12
2001-03-28	Snow	SALEM (TOWN OF)	No	1	$142,857.11
2001-03-28	Snow	SANBORN REGIONAL SCHOOL DISTRICT	Yes	1	$1,862.13
2001-03-28	Snow	SANDOWN (TOWN OF)	No	1	$18,007.25
2001-03-28	Snow	SAU 16	No	1	$8,480.67
2001-03-28	Snow	SAU 21	No	1	$14,956.42
2001-03-28	Snow	SAU 31 NEWMARKET S.D.	No	1	$0.00
2001-03-28	Snow	SEABROOK (TOWN OF)	No	1	$15,818.54
2001-03-28	Snow	SOUTH HAMPTON (TOWN OF)	No	1	$5,669.98
2001-03-28	Snow	STRATHAM (TOWN OF)	No	1	$20,117.11
2001-03-28	Snow	TIMBERLANE REGIONAL SCHOOL DISTRICT	Yes	1	$1,689.80
2001-03-28	Snow	WINDHAM (TOWN OF)	No	1	$24,806.46
