Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2010-04-16	Snow	ASBURY ATLANTIC, INC..D/B/A BETHANY VILLAGE	No	2	$6,614.09
2010-04-16	Snow	BIG SPRING SCHOOL DISTRICT	Yes	1	$5,205.63
2010-04-16	Snow	BOSLER MEMORIAL LIBRARY	No	1	$1,316.81
2010-04-16	Snow	CAMP HILL (PC RR NAME LEMOYNE-CAMP HILL)	No	1	$12,358.32
2010-04-16	Snow	CAMP HILL SCHOOL DISTRICT	Yes	1	$2,739.90
2010-04-16	Snow	CAPITAL AREA INTERMEDIATE UNIT	No	1	$1,791.60
2010-04-16	Snow	CARLISLE	No	1	$40,903.88
2010-04-16	Snow	CARLISLE AREA SCHOOL DISTRICT	Yes	1	$11,492.37
2010-04-16	Snow	COOKE (TOWNSHIP OF)	No	1	$4,574.99
2010-04-16	Snow	CUMBERLAND (COUNTY)	No	1	$9,112.01
2010-04-16	Snow	CUMBERLAND COUNTY HISTORICAL SOCIETY	No	2	$2,249.83
2010-04-16	Snow	CUMBERLAND CROSSINGS RETIREMENT COMMUNITY	No	1	$2,422.91
2010-04-16	Snow	CUMBERLAND VALLEY SCHOOL DISTRICT	Yes	1	$34,649.21
2010-04-16	Snow	DICKINSON COLLEGE	Yes	1	$31,806.78
2010-04-16	Snow	DICKINSON (TOWNSHIP OF)	No	1	$21,153.66
2010-04-16	Snow	EAST PENNSBORO AREA SCHL DIST	Yes	1	$4,708.10
2010-04-16	Snow	EAST PENNSBORO (TOWNSHIP OF)	No	1	$57,181.95
2010-04-16	Snow	GRACE UNITED METHODIST CHURCH OF CARLISLE	No	1	$1,897.73
2010-04-16	Snow	HAMPDEN (TOWNSHIP OF)	No	1	$76,563.21
2010-04-16	Snow	HOLY SPIRIT HOSPITAL	No	1	$40,120.49
2010-04-16	Snow	HOPEWELL (TOWNSHIP OF)	No	1	$14,376.68
2010-04-16	Snow	LEMOYNE BOROUGH	No	1	$9,597.16
2010-04-16	Snow	LOWER ALLEN (TOWNSHIP OF)	No	1	$31,275.37
2010-04-16	Snow	LOWER FRANKFORD (TOWNSHIP OF)	No	1	$8,034.63
2010-04-16	Snow	LOWER MIFFLIN (TOWNSHIP OF)	No	1	$7,128.06
2010-04-16	Snow	MECHANICSBURG	No	1	$21,860.15
2010-04-16	Snow	MECHANICSBURG AREA SCHOOL DISTRICT	Yes	1	$10,568.14
2010-04-16	Snow	MESSIAH COLLEGE	Yes	1	$30,548.94
2010-04-16	Snow	MESSIAH VILLAGE	No	1	$12,772.67
2010-04-16	Snow	MIDDLESEX (TOWNSHIP OF)	No	1	$20,576.17
2010-04-16	Snow	MONROE (TOWNSHIP OF)	No	1	$16,657.28
2010-04-16	Snow	MOUNT HOLLY SPRINGS	No	1	$2,910.94
2010-04-16	Snow	NEWBURG BOROUGH	No	1	$2,951.25
2010-04-16	Snow	NEW CUMBERLAND	No	1	$21,079.86
2010-04-16	Snow	NEWVILLE	No	1	$14,198.91
2010-04-16	Snow	NORTH MIDDLETON (TOWNSHIP OF)	No	1	$30,688.04
2010-04-16	Snow	NORTH NEWTON (TOWNSHIP OF)	No	1	$5,951.88
2010-04-16	Snow	PENN (TOWNSHIP OF)	No	1	$14,578.30
2010-04-16	Snow	PRESBYTERIAN SENIOR LIVING	No	1	$3,344.88
2010-04-16	Snow	SHIPPENSBURG	No	1	$9,907.75
2010-04-16	Snow	SHIPPENSBURG AREA SCHOOL DISTRICT	Yes	1	$5,297.24
2010-04-16	Snow	SHIPPENSBURG (TOWNSHIP OF)	No	1	$8,769.98
2010-04-16	Snow	SILVER SPRING (TOWNSHIP OF)	No	1	$27,797.45
2010-04-16	Snow	SOUTHAMPTON (TOWNSHIP OF)	No	1	$12,102.05
2010-04-16	Snow	SOUTH MIDDLETON SCHOOL DIST	Yes	1	$5,713.04
2010-04-16	Snow	SOUTH MIDDLETON (TOWNSHIP OF)	No	1	$24,756.15
2010-04-16	Snow	SOUTH NEWTON (TOWNSHIP OF)	No	1	$7,628.41
2010-04-16	Snow	UPPER ALLEN (TOWNSHIP OF)	No	1	$24,959.75
2010-04-16	Snow	UPPER FRANKFORD (TOWNSHIP OF)	No	1	$7,819.01
2010-04-16	Snow	UPPER MIFFLIN (TOWNSHIP OF)	No	1	$7,660.64
2010-04-16	Snow	WEST PENNSBORO (TOWNSHIP OF)	No	1	$11,199.97
2010-04-16	Snow	WORMLEYSBURG	No	1	$5,037.97
