Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-07-22	Severe Storm(s)	CAVALIER RURAL ELEC COOP, INC	No	1	$53,973.28
2005-07-22	Severe Storm(s)	CENTRAL POWER ELEC INC	No	1	$7,255.26
2005-07-22	Severe Storm(s)	DEVILS LAKE PARK BOARD	No	1	$925.01
2005-07-22	Severe Storm(s)	MINNKOTA POWER COOP INC	No	2	$559,136.88
2005-07-22	Severe Storm(s)	ND DEPT OF EMERGENCY SERVICES / DIV OF HOMELAND SECURITY	No	3	$724,809.07
2005-07-22	Severe Storm(s)	ND DIV OF PARKS & RECREATION	No	5	$10,292.15
2005-07-22	Severe Storm(s)	ND STATE WATER COMMISION	No	2	$13,448.79
2005-07-22	Severe Storm(s)	NODAK ELEC COOP INC	No	3	$122,709.73
2005-07-22	Severe Storm(s)	NORTH CENTRAL ELECTRIC COOP, INC.	No	1	$18,614.61
2005-07-22	Severe Storm(s)	NORTHERN PLAINS ELECTRIC COOPERATIVE	No	2	$50,587.35
2005-07-22	Severe Storm(s)	OAK CREEK WATER RESOURCE DIST	No	5	$105,544.47
2005-07-22	Severe Storm(s)	RANSOM CNTY WTR RESOURCE DIST	No	1	$0.00
2005-07-22	Severe Storm(s)	SQUARE BUTTE ELEC COOP	No	1	$79,949.93
2005-07-22	Severe Storm(s)	TRI-COUNTY DRAIN	No	1	$693.75
2005-07-22	Severe Storm(s)	UNITED POWER ASSOC./GREAT RIVER ENERGY	No	3	$3,572,080.32
2005-11-21	Snow	BURKE - DIVIDE ELEC COOP, INC	No	1	$12,851.71
2005-11-21	Snow	CAPITAL ELEC COOP	No	1	$12,123.01
2005-11-21	Snow	CENTRAL POWER ELEC INC	No	1	$41,219.33
2005-11-21	Snow	GOLDENWEST ELECTRIC COOP, INC	No	1	$3,683.25
2005-11-21	Snow	MC KENZIE ELECTRIC COOP, INC	No	2	$150,944.17
2005-11-21	Snow	MC LEAN ELECTRIC COOP	No	1	$69,032.17
2005-11-21	Snow	ND DEP OF EMERGENCY SERVICES / DIVISION OF HOMELAND SECURITY	No	2	$57,719.32
2005-11-21	Snow	ND DEPT OF TRANSPORTATION	No	2	$121,147.75
2005-11-21	Snow	ND NATIONAL GUARD	No	2	$14,462.93
2005-11-21	Snow	NORTH CENTRAL ELECTRIC COOP, INC.	No	3	$255,728.38
2005-11-21	Snow	NORTHERN PLAINS ELECTRIC COOPERATIVE	No	4	$116,413.59
2005-11-21	Snow	OLIVER-MERCER ELEC CO-OP	No	2	$182,328.58
2005-11-21	Snow	SLOPE ELECTRIC COOP	No	1	$3,311.62
2005-11-21	Snow	VERENDRYE ELEC COOP INC	No	2	$114,728.84
2005-11-21	Snow	WEST PLAINS ELECTRIC COOP INC	No	3	$141,176.55
2005-09-13	Coastal Storm	ND DEP OF EMERGENCY SERVICES / DIVISION OF HOMELAND SECURITY	No	1	$24,233.27
