Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
1999-01-08	Snow	AURORA, CITY OF	No	1	$285,270.74
1999-01-08	Snow	AURORA TOWNSHIP ROAD DISTIRCT	No	1	$15,305.73
1999-01-08	Snow	AURORA WESTSIDE PUBLIC SCHOOLS	Yes	1	$17,800.09
1999-01-08	Snow	BATAVIA, CITY OF	No	1	$55,032.23
1999-01-08	Snow	BATAVIA PUBLIC SCHOOL DISTRICT 101	Yes	1	$3,415.36
1999-01-08	Snow	BIG ROCK TOWNSHIP ROAD DISTRICT	No	1	$2,245.05
1999-01-08	Snow	BLACKBERRY TOWNSHIP ROAD DISTRICT	No	1	$3,702.66
1999-01-08	Snow	BURLINGTON, VILLAGE OF	No	1	$2,447.74
1999-01-08	Snow	CARPENTERSVILLE, VILLAGE OF	No	1	$29,145.40
1999-01-08	Snow	COMMUNITY UNIT SCHOOL DISTIRCT 300	Yes	1	$32,596.22
1999-01-08	Snow	COMMUNITY UNIT SCHOOL DISTRICT 301	Yes	1	$5,825.84
1999-01-08	Snow	COMMUNITY UNIT SCHOOL DISTRICT 303	Yes	1	$7,062.84
1999-01-08	Snow	DUNDEE, TOWNSHIP OF	No	1	$87.19
1999-01-08	Snow	DUNDEE TOWNSHIP PARK DISTRICT	No	1	$2,182.02
1999-01-08	Snow	DUNDEE TOWNSHIP ROAD DISTRICT	No	1	$17,524.87
1999-01-08	Snow	EAST AURORA SCHOOL DISTRICT 131	Yes	1	$15,609.75
1999-01-08	Snow	EAST DUNDEE (RR NAME DUNDEE (STA.))	No	1	$7,331.43
1999-01-08	Snow	ELBURN, VILLAGE OF	No	1	$7,128.71
1999-01-08	Snow	ELGIN, CITY OF	No	1	$67,169.42
1999-01-08	Snow	ELGIN COMMUNITY COLLEGE	Yes	1	$7,386.15
1999-01-08	Snow	ELGIN SCHOOL DISTRICT UNIT 46	Yes	1	$29,937.69
1999-01-08	Snow	ELGIN TOWNSHIP ROAD DISTRICT	No	1	$9,694.21
1999-01-08	Snow	GENEVA, CITY OF	No	1	$53,861.87
1999-01-08	Snow	GENEVA COMMUNITY SCHOOL DISTRICT 304	Yes	1	$5,207.00
1999-01-08	Snow	GENEVA HIGHWAY DEPARATMENT, TOWNSHIP OF	No	1	$2,605.69
1999-01-08	Snow	GENEVA PARK DISTRICT	No	1	$2,018.03
1999-01-08	Snow	GENEVA PUBLIC LIBRARY DISTRICT	No	1	$0.00
1999-01-08	Snow	GILBERTS	No	1	$2,125.07
1999-01-08	Snow	HAMPSHIRE, VILLAGE OF	No	1	$1,922.99
1999-01-08	Snow	HOLY ANGELS SCHOOL	Yes	1	$1,122.54
1999-01-08	Snow	KANE COUNTY DIVISION OF TRANSPORTATION	No	1	$293,597.09
1999-01-08	Snow	KANELAND COMMUNITY UNIT SCHOOL DISTRICT 302	Yes	1	$5,488.35
1999-01-08	Snow	MAPLE PARK, VILLAGE OF	No	1	$2,671.55
1999-01-08	Snow	MONTGOMERY	No	1	$10,541.88
1999-01-08	Snow	RUTLAND, TOWNSHIP OF	No	1	$16,038.48
1999-01-08	Snow	SAINT CHARLES	No	1	$55,904.01
1999-01-08	Snow	SLEEPY HOLLOW	No	1	$2,441.85
1999-01-08	Snow	SOUTH ELGIN	No	1	$14,029.93
1999-01-08	Snow	ST CHARLES PARK DISTTRICT	No	1	$2,407.55
1999-01-08	Snow	ST CHARLES PUBLIC LIBRARY DISTRICT	No	1	$793.83
1999-01-08	Snow	ST. PETER SCHOOL	Yes	1	$2,709.16
1999-01-08	Snow	SUGAR GROVE	No	1	$4,027.47
1999-01-08	Snow	VILLAGE OF NORTH AURORA	No	1	$8,687.42
1999-01-08	Snow	VIRGIL, TOWNSHIP OF	No	1	$6,025.73
1999-01-08	Snow	WAUBONSEE COMMUNITY COLLEGE	Yes	1	$8,981.11
1999-01-08	Snow	WEST DUNDEE, VILLAGE OF	No	1	$13,076.29
