Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2000-07-21	Severe Storm(s)	ALLEGANY (TOWN OF)	No	2	$31,141.28
2000-07-21	Severe Storm(s)	ASHFORD (TOWN OF)	No	6	$51,832.85
2000-07-21	Severe Storm(s)	CATTARAUGUS (COUNTY)	No	13	$79,417.33
2000-07-21	Severe Storm(s)	EAST RANDOLPH	No	1	$2,631.56
2000-07-21	Severe Storm(s)	FARMERSVILLE (TOWN OF)	No	2	$22,386.24
2000-07-21	Severe Storm(s)	FRANKLINVILLE	No	1	$1,949.80
2000-07-21	Severe Storm(s)	FRANKLINVILLE (TOWN OF)	No	13	$216,305.77
2000-07-21	Severe Storm(s)	FREEDOM (TOWN OF)	No	5	$49,265.79
2000-07-21	Severe Storm(s)	GREAT VALLEY (TOWN OF)	No	5	$107,929.89
2000-07-21	Severe Storm(s)	HINSDALE (TOWN OF)	No	3	$32,639.15
2000-07-21	Severe Storm(s)	HUMPHREY (TOWN OF)	No	3	$47,089.31
2000-07-21	Severe Storm(s)	ISCHUA (TOWN OF)	No	1	$2,527.98
2000-07-21	Severe Storm(s)	LYNDON (TOWN OF)	No	10	$41,370.76
2000-07-21	Severe Storm(s)	MANSFIELD (TOWN OF)	No	3	$43,560.05
2000-07-21	Severe Storm(s)	NAPOLI (TOWN OF)	No	2	$10,574.87
2000-07-21	Severe Storm(s)	SALAMANCA  (CITY OF)	No	4	$20,840.76
2000-07-21	Severe Storm(s)	SALAMANCA (TOWN OF)	No	1	$3,935.52
2000-07-21	Severe Storm(s)	SENECA NATION OF INDIANS	No	1	$1,034.37
2000-07-21	Severe Storm(s)	SOUTH VALLEY (TOWN OF)	No	1	$4,693.79
2000-07-21	Severe Storm(s)	YORKSHIRE (TOWN OF)	No	3	$51,397.71
2000-12-04	Snow	ALLEGANY	No	1	$3,045.62
2000-12-04	Snow	ALLEGANY (TOWN OF)	No	1	$10,736.97
2000-12-04	Snow	ASHFORD (TOWN OF)	No	1	$11,573.58
2000-12-04	Snow	CATTARAUGUS	No	1	$1,465.29
2000-12-04	Snow	CATTARAUGUS (COUNTY)	No	1	$72,175.56
2000-12-04	Snow	CITY OF SALAMANCA	No	1	$5,636.81
2000-12-04	Snow	COLDSPRING (TOWN OF)	No	1	$3,442.27
2000-12-04	Snow	CONEWANGO (TOWN OF)	No	1	$7,809.05
2000-12-04	Snow	DAYTON (TOWN OF)	No	1	$5,128.54
2000-12-04	Snow	DELEVAN	No	1	$809.27
2000-12-04	Snow	EAST OTTO (TOWN OF)	No	1	$7,609.49
2000-12-04	Snow	EAST RANDOLPH	No	1	$1,763.60
2000-12-04	Snow	ELLICOTTVILLE	No	1	$924.15
2000-12-04	Snow	ELLICOTTVILLE (TOWN OF)	No	1	$11,061.58
2000-12-04	Snow	FARMERSVILLE (TOWN OF)	No	1	$6,015.53
2000-12-04	Snow	FRANKLINVILLE	No	1	$1,996.70
2000-12-04	Snow	FRANKLINVILLE (TOWN OF)	No	1	$11,123.86
2000-12-04	Snow	FREEDOM (TOWN OF)	No	1	$3,498.83
2000-12-04	Snow	GOWANDA	No	1	$2,650.76
2000-12-04	Snow	HINSDALE (TOWN OF)	No	1	$10,848.96
2000-12-04	Snow	HUMPHREY (TOWN OF)	No	1	$3,411.15
2000-12-04	Snow	ISCHUA (TOWN OF)	No	1	$3,281.66
2000-12-04	Snow	LEON (TOWN OF)	No	1	$5,792.82
2000-12-04	Snow	LITTLE VALLEY	No	1	$2,800.90
2000-12-04	Snow	LITTLE VALLEY (TOWN OF)	No	1	$4,315.06
2000-12-04	Snow	LYNDON (TOWN OF)	No	1	$2,825.77
2000-12-04	Snow	MACHIAS (TOWN OF)	No	1	$4,901.08
2000-12-04	Snow	MANSFIELD (TOWN OF)	No	1	$6,691.42
2000-12-04	Snow	NAPOLI (TOWN OF)	No	1	$4,649.42
2000-12-04	Snow	NEW ALBION (TOWN OF)	No	1	$4,058.90
2000-12-04	Snow	OTTO (TOWN OF)	No	1	$5,346.58
2000-12-04	Snow	PERRYSBURG (TOWN OF)	No	1	$5,232.24
2000-12-04	Snow	PERSIA (TOWN OF)	No	1	$2,572.25
2000-12-04	Snow	RANDOLPH	No	1	$2,548.48
2000-12-04	Snow	RANDOLPH (TOWN OF)	No	1	$6,174.21
2000-12-04	Snow	SALAMANCA (TOWN OF)	No	1	$1,346.32
2000-12-04	Snow	SOUTH DAYTON	No	1	$959.17
2000-12-04	Snow	SOUTH VALLEY (TOWN OF)	No	1	$1,542.85
2000-12-04	Snow	YORKSHIRE (TOWN OF)	No	1	$5,888.03
