Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
1999-01-08	Snow	ARMINGTON, VILLAGE OF	No	1	$1,276.19
1999-01-08	Snow	BOYNTON, TOWNSHIP OF	No	1	$933.54
1999-01-08	Snow	CENTRAL SCHOOL DISTRICT 51	Yes	1	$0.00
1999-01-08	Snow	CINCINNATI,  TOWNSHIP OF	No	1	$11,616.61
1999-01-08	Snow	CONGERVILLE-EUREKA-GOODFIELD C.U.S.D. 140	No	1	$1,508.38
1999-01-08	Snow	CREVE COEUR SCHOOL DISTRICT 76	Yes	1	$0.00
1999-01-08	Snow	CREVE COEUR, VILLAGE OF	No	1	$7,564.63
1999-01-08	Snow	DEER CREEK MACKINAW SCHOOL DIST 701	Yes	1	$787.80
1999-01-08	Snow	DEER CREEK TOWNSHIP ROAD DISTRICT	No	1	$7,672.81
1999-01-08	Snow	DEER CREEK, VILLAGE OF	No	1	$842.69
1999-01-08	Snow	DELAVAN, CITY OF	No	1	$3,065.88
1999-01-08	Snow	DELAVAN COMM UNIT DISTRICT 703	No	1	$0.00
1999-01-08	Snow	DELAVAN, TOWNSHIP OF	No	1	$2,125.94
1999-01-08	Snow	DILLON, TOWNSHIP OF	No	1	$3,005.47
1999-01-08	Snow	DISTRICT 50 SCHOOLS	Yes	1	$0.00
1999-01-08	Snow	EAST PEORIA, CITY OF	No	1	$31,441.45
1999-01-08	Snow	ELM GROVE , TOWNSHIP OF	No	1	$9,184.17
1999-01-08	Snow	FONDULAC TOWNSHIP ROAD & BRIDGE DISTRICT	No	1	$5,096.13
1999-01-08	Snow	GREEN VALLEY, VILLAGE OF	No	1	$1,583.47
1999-01-08	Snow	GROVELAND TOWNSHIP ROAD DISTRICT	No	1	$4,664.99
1999-01-08	Snow	HOPEDALE, TOWNSHIP OF	No	1	$0.00
1999-01-08	Snow	HOPEDALE, VILLAGE OF	No	1	$2,011.48
1999-01-08	Snow	ILLINOIS CENTRAL COLLEGE	Yes	1	$4,191.52
1999-01-08	Snow	LITTLE MACKINAW,  TOWNSHIP OF	No	1	$3,401.34
1999-01-08	Snow	MACKINAW,  TOWNSHIP OF	No	1	$-0.01
1999-01-08	Snow	MACKINAW TOWNSHIP ROAD DISTRICT	No	1	$2,408.62
1999-01-08	Snow	MALONE TOWNSHIP ROAD DISTRICT	No	1	$2,797.19
1999-01-08	Snow	MARQUETTE HEIGHTS, CITY OF	No	1	$4,396.11
1999-01-08	Snow	MINIER, VILLAGE OF	No	1	$3,226.44
1999-01-08	Snow	MORTON TOWNSHIP ROAD DISTRICT	No	1	$4,536.43
1999-01-08	Snow	MORTON UNIT SCHOOLS DIST 709	Yes	1	$4,392.38
1999-01-08	Snow	MORTON, VILLAGE OF	No	1	$26,782.73
1999-01-08	Snow	NORTH PEKIN, VILLAGE OF	No	1	$3,286.90
1999-01-08	Snow	PEKIN, CITY OF	No	1	$41,739.54
1999-01-08	Snow	PEKIN PARK DISTRICT	No	1	$1,383.58
1999-01-08	Snow	PEKIN PUBLIC SCHOOL DIST 108	Yes	1	$5,377.55
1999-01-08	Snow	SAND PRAIRIE (TOWNSHIP OF)	No	1	$5,334.44
1999-01-08	Snow	SOUTH PEKIN, VILLAGE OF	No	1	$2,502.05
1999-01-08	Snow	TAZEWELL  COUNTY	No	1	$22,244.06
1999-01-08	Snow	TCRC, INC.	No	1	$0.00
1999-01-08	Snow	TREMONT, TOWNSHIP OF	No	1	$1,944.07
1999-01-08	Snow	WASHINGTON, CITY OF	No	1	$17,416.79
1999-01-08	Snow	WASHINGTON COMMUNITY HIGH SCHOOL DISTRICT 308	Yes	1	$1,070.66
1999-01-08	Snow	WASHINGTON GRADE SCHOOL DIST 52	Yes	1	$0.00
1999-01-08	Snow	WASHINGTON,  TOWNSHIP OF	No	1	$0.00
1999-01-08	Snow	WASHINGTON TOWNSHIP ROAD DISTRICT	No	1	$12,869.28
