Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2001-01-17	Snow	ALSIP, VILLAGE OF	No	1	$14,578.76
2001-01-17	Snow	ARBOR PARK SCHOOL DISTRICT 145	Yes	1	$4,146.81
2001-01-17	Snow	ARGO COMMUNITY HIGH SCHOOL DIST. 217	Yes	1	$1,566.77
2001-01-17	Snow	ARLINGTON HEIGHTS SCHOOL DISTRICT 25	Yes	1	$2,573.37
2001-01-17	Snow	ARLINGTON HEIGHTS, VILLAGE OF	No	1	$74,681.81
2001-01-17	Snow	ATWOOD HEIGHTS SCHOOL DISTRICT 125	Yes	1	$2,383.50
2001-01-17	Snow	BARRINGTON, VILLAGE OF	No	1	$26,075.76
2001-01-17	Snow	BARTLETT, VILLAGE OF	No	1	$35,038.77
2001-01-17	Snow	BEDFORD PARK, VILLAGE OF	No	1	$15,456.92
2001-01-17	Snow	BELLWOOD SCHOOL DISTRICT 88	Yes	1	$0.00
2001-01-17	Snow	BELLWOOD, VILLAGE OF	No	1	$16,059.85
2001-01-17	Snow	BERKELEY SCHOOL DISTRICT 87	Yes	1	$8,196.13
2001-01-17	Snow	BERKELEY, VILLAGE OF	No	1	$11,171.39
2001-01-17	Snow	BERWYN, CITY OF	No	1	$54,105.13
2001-01-17	Snow	BLOOM TOWNSHIP HIGH SCHOOL DISTRICT 206	Yes	1	$5,601.15
2001-01-17	Snow	BLUE ISLAND, CITY OF	No	1	$28,315.87
2001-01-17	Snow	BLUE ISLAND SCHOOL DISTRICT 130	Yes	1	$7,534.84
2001-01-17	Snow	BREMEN HIGH SCHOOL DIST 228	Yes	1	$5,537.76
2001-01-17	Snow	BREMEN, TOWNSHIP OF	No	1	$4,026.49
2001-01-17	Snow	BRIDGEVIEW, VILLAGE OF	No	1	$19,829.33
2001-01-17	Snow	BROADVIEW, VILLAGE OF	No	1	$7,788.37
2001-01-17	Snow	BROOKFIELD-LA GRANGE PARK SCHOOL DIST 95	Yes	1	$1,354.35
2001-01-17	Snow	BROOKFIELD, VILLAGE OF	No	1	$11,210.60
2001-01-17	Snow	BUFFALO GROVE , VILLAGE OF	No	1	$45,673.71
2001-01-17	Snow	BURBANK, CITY OF	No	1	$13,816.35
2001-01-17	Snow	BURBANK SCHOOL DIST 111	Yes	1	$3,862.56
2001-01-17	Snow	BURNHAM, VILLAGE OF	No	1	$4,321.23
2001-01-17	Snow	CALUMET CITY, CITY OF	No	1	$34,267.97
2001-01-17	Snow	CALUMET PARK, VILLAGE OF	No	1	$13,277.31
2001-01-17	Snow	CATHOLIC SCHOOLS OF THE ARCHDIOCESE OF CHICAGO	Yes	4	$134,496.32
2001-01-17	Snow	CENTRAL STICKNEY SCHOOL DIST 110	Yes	1	$2,968.49
2001-01-17	Snow	CHICAGO, CITY OF	No	12	$2,638,556.77
2001-01-17	Snow	CHICAGO HEIGHTS C.U.S.D. 170	No	1	$1,274.07
2001-01-17	Snow	CHICAGO HEIGHTS EMERGENCY SVC	No	1	$26,435.70
2001-01-17	Snow	CHICAGO HOUSING AUTHORITY	No	1	$0.00
2001-01-17	Snow	CHICAGO PARK DISTRICT	No	1	$52,053.43
2001-01-17	Snow	CHICAGO PUBLIC SCHOOLS	Yes	1	$0.00
2001-01-17	Snow	CHICAGO RIDGE PARK DISTRICT	No	1	$2,001.79
2001-01-17	Snow	CHICAGO RIDGE SCHOOL DIST 127 1/2	Yes	1	$1,225.98
2001-01-17	Snow	CHICAGO RIDGE, VILLAGE OF	No	1	$22,241.31
2001-01-17	Snow	CHICAGO TRANSIT AUTHORITY	No	1	$370,463.43
2001-01-17	Snow	CICERO ELEMENTARY  DISTRICT 99	No	1	$10,474.48
2001-01-17	Snow	CICERO, TOWN OF	No	1	$117,289.89
2001-01-17	Snow	COMMUNITY CONSOLIDATED DIST 21	No	1	$6,337.83
2001-01-17	Snow	COMMUNITY CONSOLIDATED SCHOOL DIST 15	Yes	1	$10,320.04
2001-01-17	Snow	COMMUNITY CONSOLIDATED SCHOOL DIST 59	Yes	1	$11,531.74
2001-01-17	Snow	COMMUNITY CONSOLIDATED SCHOOL DIST. 64	Yes	1	$5,800.86
2001-01-17	Snow	COMMUTER RAIL DIV . OF REGIONAL TRANS  AUTHORITY	No	1	$393,560.42
2001-01-17	Snow	CONSOLIDATED HIGH SCHOOL DIST. 230	Yes	1	$3,346.22
2001-01-17	Snow	COOK COUNTY	No	1	$261,127.56
2001-01-17	Snow	COUNTRY CLUB HILLS, CITY OF	No	1	$15,955.61
2001-01-17	Snow	COUNTRYSIDE, CITY OF	No	1	$7,301.70
2001-01-17	Snow	CRESTWOOD, VILLAGE OF	No	1	$13,250.73
2001-01-17	Snow	DES PLAINES, CITY OF	No	1	$41,452.17
2001-01-17	Snow	DES PLAINES ELEMENTARY SCHOOL DIST. 62	Yes	1	$2,865.89
2001-01-17	Snow	DIXMOOR, VILLAGE OF	No	1	$8,849.35
2001-01-17	Snow	DOLTON SCHOOL DISTRICT 148	Yes	1	$2,437.93
2001-01-17	Snow	DOLTON SCHOOL DISTRICT 149	Yes	1	$7,584.58
2001-01-17	Snow	DOLTON, VILLAGE OF	No	1	$23,209.15
2001-01-17	Snow	EAST HAZEL CREST, VILLAGE OF	No	1	$3,058.35
2001-01-17	Snow	EAST MAINE SCHOOL DIST 63	Yes	1	$1,084.14
2001-01-17	Snow	EAST PRAIRIE SCHOOL DIST 73	Yes	1	$1,229.16
2001-01-17	Snow	ELK GROVE TOWNSHIP HIGHWAY DEPT	No	1	$1,941.34
