Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-10-26	Severe Storm(s)	ALLENSTOWN (TOWN OF)	No	1	$1,804.88
2005-10-26	Severe Storm(s)	ANDOVER (TOWN OF)	No	3	$9,886.05
2005-10-26	Severe Storm(s)	BOSCAWEN, TOWN OF	No	2	$8,971.18
2005-10-26	Severe Storm(s)	BOW (TOWN OF)	No	1	$5,457.69
2005-10-26	Severe Storm(s)	BRADFORD (TOWN OF)	No	6	$377,577.60
2005-10-26	Severe Storm(s)	CANTERBURY (TOWN OF)	No	5	$64,417.71
2005-10-26	Severe Storm(s)	CHICHESTER, TOWN OF	No	4	$24,001.56
2005-10-26	Severe Storm(s)	CONCORD	No	4	$29,342.71
2005-10-26	Severe Storm(s)	EPSOM, TOWN OF	No	1	$5,592.70
2005-10-26	Severe Storm(s)	FRANKLIN	No	8	$75,110.96
2005-10-26	Severe Storm(s)	HENNIKER (TOWN OF)	No	6	$28,917.03
2005-10-26	Severe Storm(s)	HILL (TOWN OF)	No	1	$3,068.60
2005-10-26	Severe Storm(s)	HOPKINTON (TOWN OF)	No	1	$20,418.45
2005-10-26	Severe Storm(s)	LOUDON (TOWN OF)	No	2	$27,444.80
2005-10-26	Severe Storm(s)	NEWBURY, TOWN OF	No	4	$38,080.90
2005-10-26	Severe Storm(s)	NEW LONDON, TOWN OF	No	2	$11,716.86
2005-10-26	Severe Storm(s)	NORTHFIELD (TOWN OF)	No	7	$94,839.72
2005-10-26	Severe Storm(s)	SALISBURY (TOWN OF)	No	4	$24,369.73
2005-10-26	Severe Storm(s)	SUTTON (TOWN OF)	No	4	$20,108.12
2005-10-26	Severe Storm(s)	WARNER, TOWN OF	No	8	$79,123.81
2005-10-26	Severe Storm(s)	WEBSTER (TOWN OF)	No	3	$13,974.83
2005-03-30	Snow	ALLENSTOWN SCHOOL DISTRICT	Yes	1	$922.90
2005-03-30	Snow	ANDOVER (TOWN OF)	No	1	$7,729.10
2005-03-30	Snow	BOSCAWEN, TOWN OF	No	1	$3,763.59
2005-03-30	Snow	BOW (TOWN OF)	No	1	$33,158.28
2005-03-30	Snow	BRADFORD (TOWN OF)	No	1	$7,589.52
2005-03-30	Snow	CHICHESTER, TOWN OF	No	1	$7,720.76
2005-03-30	Snow	CONCORD	No	1	$84,493.35
2005-03-30	Snow	CONCORD SCHOOL DISTRICT SAU 8	Yes	1	$8,759.40
2005-03-30	Snow	DANBURY (TOWN OF)	No	1	$3,859.16
2005-03-30	Snow	DUNBARTON (TOWN OF)	No	1	$5,387.60
2005-03-30	Snow	EPSOM, TOWN OF	No	1	$10,701.33
2005-03-30	Snow	HENNIKER (TOWN OF)	No	1	$14,387.92
2005-03-30	Snow	HILL (TOWN OF)	No	1	$5,135.55
2005-03-30	Snow	HOOKSETT (TOWN OF)	No	1	$19,708.06
2005-03-30	Snow	HOPKINTON (TOWN OF)	No	1	$13,110.45
2005-03-30	Snow	LOUDON (TOWN OF)	No	1	$11,037.70
2005-03-30	Snow	NEWBURY, TOWN OF	No	1	$10,910.50
2005-03-30	Snow	NEW ENGLAND COLLEGE	Yes	1	$2,174.30
2005-03-30	Snow	NEW LONDON, TOWN OF	No	1	$13,597.84
2005-03-30	Snow	NORTHFIELD (TOWN OF)	No	1	$7,387.61
2005-03-30	Snow	PEMBROKE SCHOOL DISTRICT	Yes	1	$2,725.73
2005-03-30	Snow	PEMBROKE (TOWN OF)	No	1	$6,635.38
2005-03-30	Snow	PITTSFIELD (TOWN OF)	No	1	$5,798.55
2005-03-30	Snow	SALISBURY (TOWN OF)	No	1	$2,216.87
2005-03-30	Snow	SUTTON (TOWN OF)	No	1	$8,673.12
2005-03-30	Snow	WARNER, TOWN OF	No	1	$9,596.02
2005-03-30	Snow	WEBSTER (TOWN OF)	No	1	$4,479.09
2005-03-30	Snow	WILMOT (TOWN OF)	No	1	$4,276.87
