Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2001-03-28	Snow	ASHBURNHAM (TOWN OF)	No	1	$19,028.65
2001-03-28	Snow	ATHOL, TOWN OF	No	1	$27,730.56
2001-03-28	Snow	AUBURN HOUSING AUTHORITY	No	1	$0.00
2001-03-28	Snow	AUBURN (TOWN OF)	No	1	$40,474.42
2001-03-28	Snow	BARRE HOUSING AUTHORITY	No	2	$1,067.13
2001-03-28	Snow	BARRE (TOWN OF)	No	1	$11,822.76
2001-03-28	Snow	BERLIN (TOWN OF)	No	1	$10,071.71
2001-03-28	Snow	BLACKSTONE (TOWN OF)	No	1	$18,901.14
2001-03-28	Snow	BOLTON (TOWN OF)	No	1	$18,252.87
2001-03-28	Snow	BOYLSTON, TOWN OF	No	1	$12,880.72
2001-03-28	Snow	CHARLTON (TOWN OF)	No	1	$38,637.17
2001-03-28	Snow	CLINTON	No	1	$37,219.72
2001-03-28	Snow	COLONY RETIREMENT HOMES, INC.	No	1	$2,862.22
2001-03-28	Snow	DOUGLAS, TOWN OF	No	1	$24,865.21
2001-03-28	Snow	DUDLEY (TOWN OF)	No	1	$19,894.54
2001-03-28	Snow	FITCHBURG	No	1	$105,292.33
2001-03-28	Snow	FITCHBURG HOUSING AUTHORITY	No	1	$1,336.87
2001-03-28	Snow	GARDNER, CITY OF	No	1	$43,628.57
2001-03-28	Snow	GARDNER HOUSING AUTHORITY	No	1	$1,208.39
2001-03-28	Snow	GRAFTON (TOWN OF)	No	1	$59,874.16
2001-03-28	Snow	HARDWICK (TOWN OF)	No	1	$10,901.78
2001-03-28	Snow	HARVARD (TOWN OF)	No	1	$14,762.89
2001-03-28	Snow	HOLDEN HOUSING AUTHORITY	No	1	$637.12
2001-03-28	Snow	HOLDEN (TOWN OF)	No	1	$41,678.65
2001-03-28	Snow	HOPEDALE, TOWN OF	No	1	$17,113.24
2001-03-28	Snow	HUBBARDSTON	No	1	$16,802.91
2001-03-28	Snow	LANCASTER (TOWN OF)	No	1	$11,848.25
2001-03-28	Snow	LEICESTER	No	1	$23,939.56
2001-03-28	Snow	LEOMINSTER	No	1	$101,878.52
2001-03-28	Snow	LUNENBURG	No	1	$27,836.71
2001-03-28	Snow	MENDON, TOWN OF	No	1	$15,698.80
2001-03-28	Snow	MILFORD	No	1	$67,762.61
2001-03-28	Snow	MILLBURY (TOWN OF)	No	1	$24,806.86
2001-03-28	Snow	MILLVILLE (TOWN OF)	No	1	$9,684.37
2001-03-28	Snow	NEW BRAINTREE, TOWN OF	No	1	$10,482.82
2001-03-28	Snow	NORTHBOROUGH (TOWN OF)	No	1	$33,853.82
2001-03-28	Snow	NORTHBRIDGE (TOWN OF)	No	1	$22,458.75
2001-03-28	Snow	OAKHAM (TOWN OF)	No	1	$8,599.10
2001-03-28	Snow	OXFORD (TOWN OF)	No	1	$36,051.19
2001-03-28	Snow	PAXTON (TOWN OF)	No	1	$15,812.48
2001-03-28	Snow	PETERSHAM (TOWN OF)	No	1	$7,704.77
2001-03-28	Snow	PHILLIPSTON (TOWN OF)	No	1	$5,911.39
2001-03-28	Snow	PRINCETON, TOWN OF	No	1	$16,289.99
2001-03-28	Snow	ROYALSTON (TOWN OF)	No	1	$14,041.15
2001-03-28	Snow	RUTLAND (TOWN OF)	No	1	$16,633.81
2001-03-28	Snow	SHREWSBURY	No	1	$64,715.24
2001-03-28	Snow	SOUTHBOROUGH (TOWN OF)	No	1	$28,244.54
2001-03-28	Snow	SOUTHBRIDGE (TOWN OF)	No	1	$30,282.11
2001-03-28	Snow	SPENCER HOUSING AUTHORITY	No	1	$2,278.90
2001-03-28	Snow	SPENCER (TOWN OF)	No	1	$21,979.94
2001-03-28	Snow	STERLING, TOWN OF	No	1	$17,289.18
2001-03-28	Snow	STURBRIDGE, TOWN OF	No	1	$19,548.01
2001-03-28	Snow	SUTTON, TOWN OF	No	1	$15,345.41
2001-03-28	Snow	TEMPLETON, TOWN OF	No	1	$18,775.57
2001-03-28	Snow	UPTON (TOWN OF)	No	1	$33,653.62
2001-03-28	Snow	UXBRIDGE HOUSING AUTHORITY	No	1	$999.09
2001-03-28	Snow	UXBRIDGE (TOWN OF)	No	1	$48,455.01
2001-03-28	Snow	WARREN (TOWN OF)	No	1	$15,397.19
2001-03-28	Snow	WEBSTER HOUSING AUTHORITY	No	1	$2,256.21
2001-03-28	Snow	WEBSTER (TOWN OF)	No	1	$36,379.27
2001-03-28	Snow	WESTBOROUGH (TOWN OF)	No	1	$53,502.73
2001-03-28	Snow	WEST BOYLSTON, TOWN OF	No	1	$18,135.09
2001-03-28	Snow	WEST BROOKFIELD (TOWN OF)	No	1	$9,088.17
2001-03-28	Snow	WESTMINSTER (TOWN OF)	No	1	$20,299.67
2001-03-28	Snow	WINCHENDON HOUSING AUTHORITY	No	1	$2,188.10
2001-03-28	Snow	WINCHENDON (TOWN OF)	No	1	$16,465.13
2001-03-28	Snow	WORCESTER, CITY OF	No	1	$759,354.69
2001-03-28	Snow	WORCESTER HOUSING AUTHORITY	No	1	$12,085.97
