Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-03-30	Snow	ATKINSON (TOWN OF)	No	1	$12,403.31
2005-03-30	Snow	AUBURN (TOWN OF)	No	1	$11,667.11
2005-03-30	Snow	BRENTWOOD (TOWN OF)	No	1	$9,964.90
2005-03-30	Snow	CANDIA (TOWN OF)	No	1	$1,228.97
2005-03-30	Snow	CHESTER (TOWN OF)	No	1	$22,471.42
2005-03-30	Snow	DANVILLE (TOWN OF)	No	1	$8,070.79
2005-03-30	Snow	DEERFIELD (TOWN OF)	No	1	$14,846.33
2005-03-30	Snow	DERRY (TOWN OF)	No	1	$67,689.87
2005-03-30	Snow	EAST KINGSTON (TOWN OF)	No	1	$8,237.05
2005-03-30	Snow	EPPING (TOWN OF)	No	1	$14,410.69
2005-03-30	Snow	FREMONT (TOWN OF)	No	1	$9,138.60
2005-03-30	Snow	GREENLAND (TOWN OF)	No	1	$18,890.05
2005-03-30	Snow	HAMPSTEAD SCHOOL DISTRICT	Yes	1	$1,092.14
2005-03-30	Snow	HAMPSTEAD (TOWN OF)	No	1	$16,837.53
2005-03-30	Snow	HAMPTON FALLS (TOWN OF)	No	1	$7,817.36
2005-03-30	Snow	HAMPTON (TOWN OF)	No	1	$37,025.89
2005-03-30	Snow	KENSINGTON (TOWN OF)	No	1	$10,560.96
2005-03-30	Snow	KINGSTON (TOWN OF)	No	1	$19,749.36
2005-03-30	Snow	LONDONDERRY SCHOOL DISTRICT	Yes	1	$10,832.44
2005-03-30	Snow	LONDONDERRY (TOWN OF)	No	1	$31,971.62
2005-03-30	Snow	NEWFIELDS	No	1	$7,909.80
2005-03-30	Snow	NEWTON (TOWN OF)	No	1	$8,387.00
2005-03-30	Snow	NORTH HAMPTON SCHOOL DISTRICT	Yes	1	$1,565.76
2005-03-30	Snow	NORTH HAMPTON (TOWN OF)	No	1	$6,843.20
2005-03-30	Snow	PINKERTON ACADEMY	Yes	1	$2,920.92
2005-03-30	Snow	PLAISTOW (TOWN OF)	No	1	$25,899.42
2005-03-30	Snow	PORTSMOUTH	No	1	$71,789.81
2005-03-30	Snow	RAYMOND (TOWN OF)	No	1	$22,992.99
2005-03-30	Snow	SALEM (TOWN OF)	No	1	$115,251.85
2005-03-30	Snow	SANDOWN (TOWN OF)	No	1	$13,696.47
2005-03-30	Snow	SAU 16 - EXETER REG. SCHOOL DIST.	Yes	1	$5,017.70
2005-03-30	Snow	SAU 21	No	1	$921.73
2005-03-30	Snow	SEABROOK SCHOOL DISTRICT	Yes	1	$3,111.81
2005-03-30	Snow	SOUTH HAMPTON (TOWN OF)	No	1	$6,719.19
2005-03-30	Snow	STRATHAM (TOWN OF)	No	1	$17,385.82
2005-03-30	Snow	TIMBERLANE REGIONAL SCHOOL DISTRICT	Yes	1	$3,270.95
2005-03-30	Snow	WINDHAM (TOWN OF)	No	1	$21,661.06
2005-03-30	Snow	WINNACUNNET COOP SCHOOL DISTRICT	Yes	1	$9,376.23
2005-04-28	Snow	ATKINSON (TOWN OF)	No	1	$9,120.94
2005-04-28	Snow	BRENTWOOD (TOWN OF)	No	1	$11,440.10
2005-04-28	Snow	CANDIA (TOWN OF)	No	1	$5,555.21
2005-04-28	Snow	CHESTER (TOWN OF)	No	1	$15,951.20
2005-04-28	Snow	DANVILLE (TOWN OF)	No	1	$5,174.58
2005-04-28	Snow	DEERFIELD (TOWN OF)	No	1	$13,788.79
2005-04-28	Snow	DERRY (TOWN OF)	No	1	$49,098.33
2005-04-28	Snow	EAST KINGSTON (TOWN OF)	No	1	$4,262.79
2005-04-28	Snow	EPPING (TOWN OF)	No	1	$13,370.71
2005-04-28	Snow	FREMONT (TOWN OF)	No	1	$5,191.97
2005-04-28	Snow	GREENLAND (TOWN OF)	No	1	$23,833.91
2005-04-28	Snow	HAMPSTEAD (TOWN OF)	No	1	$10,543.52
2005-04-28	Snow	HAMPTON FALLS (TOWN OF)	No	1	$7,098.60
2005-04-28	Snow	KENSINGTON (TOWN OF)	No	1	$9,979.51
2005-04-28	Snow	LONDONDERRY SCHOOL DISTRICT	Yes	1	$7,122.01
2005-04-28	Snow	LONDONDERRY (TOWN OF)	No	1	$25,395.54
2005-04-28	Snow	NORTH HAMPTON SCHOOL DISTRICT	Yes	1	$2,884.05
2005-04-28	Snow	NORTH HAMPTON (TOWN OF)	No	1	$8,325.21
2005-04-28	Snow	PLAISTOW (TOWN OF)	No	1	$24,250.99
2005-04-28	Snow	PORTSMOUTH	No	1	$57,334.85
2005-04-28	Snow	RYE (TOWN OF)	No	1	$13,558.47
2005-04-28	Snow	SALEM (TOWN OF)	No	1	$68,555.52
2005-04-28	Snow	SEABROOK SCHOOL DISTRICT	Yes	1	$1,595.29
2005-04-28	Snow	SOUTH HAMPTON (TOWN OF)	No	1	$3,950.30
2005-04-28	Snow	STRATHAM (TOWN OF)	No	1	$23,907.49
2005-04-28	Snow	WINDHAM (TOWN OF)	No	1	$18,421.95
2005-04-28	Snow	WINNACUNNET COOP SCHOOL DISTRICT	Yes	1	$6,177.16
