Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-10-26	Severe Storm(s)	ANTRIM (TOWN OF)	No	17	$195,794.94
2005-10-26	Severe Storm(s)	DEERING (TOWN OF)	No	1	$2,416.18
2005-10-26	Severe Storm(s)	EMERALD LAKE VILLAGE DISTRICT	No	1	$42,275.13
2005-10-26	Severe Storm(s)	FRANCESTOWN (TOWN OF)	No	6	$5,865.96
2005-10-26	Severe Storm(s)	GOFFSTOWN (TOWN OF)	No	2	$256,912.37
2005-10-26	Severe Storm(s)	GREENFIELD (TOWN OF)	No	2	$12,498.08
2005-10-26	Severe Storm(s)	HANCOCK (TOWN OF)	No	10	$371,060.62
2005-10-26	Severe Storm(s)	HILLSBOROUGH (TOWN OF)	No	11	$97,362.34
2005-10-26	Severe Storm(s)	MERRIMACK (TOWN OF)	No	2	$4,294.06
2005-10-26	Severe Storm(s)	MILFORD (TOWN OF)	No	1	$1,304.78
2005-10-26	Severe Storm(s)	NEW IPSWICH (TOWN OF)	No	1	$6,364.25
2005-10-26	Severe Storm(s)	PETERBOROUGH (TOWN OF)	No	2	$2,527.26
2005-10-26	Severe Storm(s)	SHARON (TOWN OF)	No	4	$7,866.90
2005-10-26	Severe Storm(s)	TEMPLE (TOWN OF)	No	1	$6,092.85
2005-03-30	Snow	AMHERST (TOWN OF)	No	1	$28,071.82
2005-03-30	Snow	ANTRIM, TOWN OF	No	1	$15,245.23
2005-03-30	Snow	BEDFORD (TOWN OF)	No	1	$46,088.59
2005-03-30	Snow	BENNINGTON, TOWN OF	No	1	$1,847.39
2005-03-30	Snow	BROOKLINE (TOWN OF)	No	1	$9,377.35
2005-03-30	Snow	CONTOOCOOK VLY REG SCHOOL DIST	Yes	1	$2,195.21
2005-03-30	Snow	DEERING (TOWN OF)	No	1	$7,091.69
2005-03-30	Snow	FRANCESTOWN (TOWN OF)	No	1	$12,588.46
2005-03-30	Snow	GOFFSTOWN (TOWN OF)	No	1	$35,118.52
2005-03-30	Snow	GREENFIELD (TOWN OF)	No	1	$7,220.96
2005-03-30	Snow	GREENVILLE (TOWN OF)	No	1	$2,031.10
2005-03-30	Snow	HANCOCK (TOWN OF)	No	1	$9,168.07
2005-03-30	Snow	HOLLIS, TOWN OF	No	1	$13,242.72
2005-03-30	Snow	HUDSON (TOWN OF)	No	1	$57,926.71
2005-03-30	Snow	LITCHFIELD (TOWN OF)	No	1	$22,588.92
2005-03-30	Snow	LYNDEBOROUGH (TOWN OF)	No	1	$10,736.01
2005-03-30	Snow	MANCHESTER AIRPORT	No	1	$139,843.70
2005-03-30	Snow	MANCHESTER, CITY OF	No	1	$110,124.18
2005-03-30	Snow	MASON (TOWN OF)	No	1	$6,597.39
2005-03-30	Snow	MERRIMACK (TOWN OF)	No	1	$40,605.79
2005-03-30	Snow	MONT VERNON (TOWN OF)	No	1	$7,665.08
2005-03-30	Snow	MOORE CENTER SVC	No	1	$1,791.70
2005-03-30	Snow	NASHUA - CITY OF	No	1	$130,051.26
2005-03-30	Snow	NEW BOSTON (TOWN OF)	No	1	$15,374.87
2005-03-30	Snow	NEW IPSWICH (TOWN OF)	No	1	$10,528.32
2005-03-30	Snow	PELHAM, TOWN OF	No	1	$25,967.35
2005-03-30	Snow	PETERBOROUGH (TOWN OF)	No	1	$25,060.91
